feature,p_value,method
b'7Networks_LH_Cont_Par_1',0.21619115021633883,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_PFCl_1',0.7719977869203728,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_pCun_1',0.22742664700261522,Schaefer 100 x 7 x 1
b'7Networks_LH_Cont_Cing_1',0.2583180261591195,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Temp_1',0.6344435853488128,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Temp_2',0.9514892565540709,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Par_1',0.8744008505746523,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_Par_2',0.1801821386315403,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_1',0.9644182909640397,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_2',0.29377759359940453,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_3',0.12288572911230108,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_4',0.6882180446365387,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_5',0.23045118886489607,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_6',0.4197631567291821,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_PFC_7',0.4424423977590213,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_pCunPCC_1',0.9564116445840757,Schaefer 100 x 7 x 1
b'7Networks_LH_Default_pCunPCC_2',0.2857782878934613,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_1',0.39614262462482386,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_2',0.9349141180495407,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_3',0.8580017176785173,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_4',0.5885379863859768,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_5',0.8568704192767742,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_6',0.9922150920838373,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_7',0.9805781334622885,Schaefer 100 x 7 x 1
b'7Networks_RH_Vis_8',0.525102917374721,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_1',0.6025036186538386,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_2',0.533117070892229,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_3',0.6318720953912433,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_4',0.4927676067514355,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_5',0.6016180732069755,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_6',0.9177040330364934,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_7',0.48561741186287255,Schaefer 100 x 7 x 1
b'7Networks_RH_SomMot_8',0.34633205268424216,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_1',0.7249890569262637,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_2',0.9270648294131377,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_3',0.6538804272270893,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_4',0.6720999700256802,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_Post_5',0.2551634129989433,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_PrCv_1',0.968190467123561,Schaefer 100 x 7 x 1
b'7Networks_RH_DorsAttn_FEF_1',0.1317767489497304,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_TempOccPar_1',0.6675443279292368,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_TempOccPar_2',0.997797526070002,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_FrOperIns_1',0.262492231487398,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_Med_1',0.9441295982896203,Schaefer 100 x 7 x 1
b'7Networks_RH_SalVentAttn_Med_2',0.32377031349464586,Schaefer 100 x 7 x 1
b'7Networks_RH_Limbic_OFC_1',0.6598711039571612,Schaefer 100 x 7 x 1
b'7Networks_RH_Limbic_TempPole_1',0.8078800211556434,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Par_1',0.6691852975670284,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Par_2',0.6892222473624022,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_1',0.2562049196116351,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_2',0.8359393403711711,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_3',0.40808933438934036,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCl_4',0.8216134937967513,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_Cing_1',0.40392771536144867,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_PFCmp_1',0.8481878715055794,Schaefer 100 x 7 x 1
b'7Networks_RH_Cont_pCun_1',0.5197682537577994,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Par_1',0.48625460835436607,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_1',0.5959044863328937,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_2',0.3783977954705886,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_Temp_3',0.9100779440668008,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCv_1',0.8527789087475763,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCv_2',0.9941043341933974,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_1',0.08490955715514928,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_2',0.6594471148390744,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_PFCdPFCm_3',0.5705100367970463,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_pCunPCC_1',0.9987582778472862,Schaefer 100 x 7 x 1
b'7Networks_RH_Default_pCunPCC_2',0.24000688732017345,Schaefer 100 x 7 x 1
Left Cerebellum,0.8067989404926881,Talairach Hemi x Lobe x Tissue
Right Cerebellum,0.7450280850403954,Talairach Hemi x Lobe x Tissue
Left Brainstem,0.418205353267581,Talairach Hemi x Lobe x Tissue
Right Brainstem,0.33156477829799214,Talairach Hemi x Lobe x Tissue
Left Cerebrum,0.7978669135480491,Talairach Hemi x Lobe x Tissue
Right Cerebrum,0.7069202558922905,Talairach Hemi x Lobe x Tissue
Inter-Hemispheric,0.3522575428244326,Talairach Hemi x Lobe x Tissue
Posterior Lobe,0.9486182166377217,Talairach Hemi x Lobe x Tissue
Medulla,0.41627813708198524,Talairach Hemi x Lobe x Tissue
Temporal Lobe,0.9659849167856834,Talairach Hemi x Lobe x Tissue
Limbic Lobe,0.7079945134319248,Talairach Hemi x Lobe x Tissue
Frontal Lobe,0.8355580395407453,Talairach Hemi x Lobe x Tissue
Sub-lobar,0.9725246840436723,Talairach Hemi x Lobe x Tissue
Pons,0.5400080994675569,Talairach Hemi x Lobe x Tissue
Anterior Lobe,0.348898808824671,Talairach Hemi x Lobe x Tissue
Occipital Lobe,0.6212549619782864,Talairach Hemi x Lobe x Tissue
Midbrain,0.6297951904456276,Talairach Hemi x Lobe x Tissue
Frontal-Temporal Space,0.7089187217974714,Talairach Hemi x Lobe x Tissue
Parietal Lobe,0.482702838226971,Talairach Hemi x Lobe x Tissue
Gray Matter,0.9319358840949036,Talairach Hemi x Lobe x Tissue
White Matter,0.7518960712940763,Talairach Hemi x Lobe x Tissue
Cerebro-Spinal Fluid,0.8969610192942339,Talairach Hemi x Lobe x Tissue
