Left Frontal Pole,Right Frontal Pole,Left Insular Cortex,Right Insular Cortex,Left Superior Frontal Gyrus,Right Superior Frontal Gyrus,Left Middle Frontal Gyrus,Right Middle Frontal Gyrus,"Left Inferior Frontal Gyrus, pars triangularis","Right Inferior Frontal Gyrus, pars triangularis","Left Inferior Frontal Gyrus, pars opercularis","Right Inferior Frontal Gyrus, pars opercularis",Left Precentral Gyrus,Right Precentral Gyrus,Left Temporal Pole,Right Temporal Pole,"Left Superior Temporal Gyrus, anterior division","Right Superior Temporal Gyrus, anterior division","Left Superior Temporal Gyrus, posterior division","Right Superior Temporal Gyrus, posterior division","Left Middle Temporal Gyrus, anterior division","Right Middle Temporal Gyrus, anterior division","Left Middle Temporal Gyrus, posterior division","Right Middle Temporal Gyrus, posterior division","Left Middle Temporal Gyrus, temporooccipital part","Right Middle Temporal Gyrus, temporooccipital part","Left Inferior Temporal Gyrus, anterior division","Right Inferior Temporal Gyrus, anterior division","Left Inferior Temporal Gyrus, posterior division","Right Inferior Temporal Gyrus, posterior division","Left Inferior Temporal Gyrus, temporooccipital part","Right Inferior Temporal Gyrus, temporooccipital part",Left Postcentral Gyrus,Right Postcentral Gyrus,Left Superior Parietal Lobule,Right Superior Parietal Lobule,"Left Supramarginal Gyrus, anterior division","Right Supramarginal Gyrus, anterior division","Left Supramarginal Gyrus, posterior division","Right Supramarginal Gyrus, posterior division",Left Angular Gyrus,Right Angular Gyrus,"Left Lateral Occipital Cortex, superior division","Right Lateral Occipital Cortex, superior division","Left Lateral Occipital Cortex, inferior division","Right Lateral Occipital Cortex, inferior division",Left Intracalcarine Cortex,Right Intracalcarine Cortex,Left Frontal Medial Cortex,Right Frontal Medial Cortex,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Left Subcallosal Cortex,Right Subcallosal Cortex,Left Paracingulate Gyrus,Right Paracingulate Gyrus,"Left Cingulate Gyrus, anterior division","Right Cingulate Gyrus, anterior division","Left Cingulate Gyrus, posterior division","Right Cingulate Gyrus, posterior division",Left Precuneous Cortex,Right Precuneous Cortex,Left Cuneal Cortex,Right Cuneal Cortex,Left Frontal Orbital Cortex,Right Frontal Orbital Cortex,"Left Parahippocampal Gyrus, anterior division","Right Parahippocampal Gyrus, anterior division","Left Parahippocampal Gyrus, posterior division","Right Parahippocampal Gyrus, posterior division",Left Lingual Gyrus,Right Lingual Gyrus,"Left Temporal Fusiform Cortex, anterior division","Right Temporal Fusiform Cortex, anterior division","Left Temporal Fusiform Cortex, posterior division","Right Temporal Fusiform Cortex, posterior division",Left Temporal Occipital Fusiform Cortex,Right Temporal Occipital Fusiform Cortex,Left Occipital Fusiform Gyrus,Right Occipital Fusiform Gyrus,Left Frontal Operculum Cortex,Right Frontal Operculum Cortex,Left Central Opercular Cortex,Right Central Opercular Cortex,Left Parietal Operculum Cortex,Right Parietal Operculum Cortex,Left Planum Polare,Right Planum Polare,Left Heschl's Gyrus (includes H1 and H2),Right Heschl's Gyrus (includes H1 and H2),Left Planum Temporale,Right Planum Temporale,Left Supracalcarine Cortex,Right Supracalcarine Cortex,Left Occipital Pole,Right Occipital Pole,filename,subject,emotion,priming,true_label,predicted_label,error_count
-2.7619795775034075,-2.74344278045495,0.3993353472284423,-0.2412315798060142,-3.36319798607937,-2.843300512345021,-3.051069252260592,-3.605454600262653,-1.937004466382974,-0.8843926188364679,-2.4869242116696686,-0.6781941840055294,-0.9841627884288118,-1.335544800079585,-1.008743716970335,-0.4568612877601316,-0.4928731388112634,0.0746878360476976,-0.095683066305995,-0.4795499581969041,-1.1930410921334496,-1.226600163213927,-1.1700563041606715,-1.757162428193057,-1.4106494824766922,-1.621933005228828,-0.8402462472174459,-0.7368651200038719,-1.6123151618439917,-1.216126418008883,-0.5985833904399382,-0.9583912239677824,-0.1277448988594349,-0.7773596172278954,-1.1148989214114111,-2.408224772012782,-0.158719018700092,0.1825596342837391,-0.7126295019236705,-1.4135698514382018,-1.238956525187074,-1.781834178272511,-1.8914932351035765,-0.936086934764966,1.6666944160683022,1.9646274027040809,0.1733965058329347,-0.0150963749766624,-3.1883364894451645,-2.897732910438759,-2.6676422983913977,-3.0222405365586407,-1.060245907644631,-1.644453652880779,-4.21851036095572,-3.7930065177550634,-2.5633991673801844,-2.861464986709798,-3.2289882550062408,-2.678014236081393,-3.625036938003124,-3.7018307552863017,-2.5496658295200603,-2.616445243426976,-0.7755352691811829,-0.6510995159767333,-1.2922250233829111,-0.8553926851466197,-0.3846738316301268,0.2112530417319607,0.4624384843914613,0.5187305655018212,-0.1616049521172183,-0.2488891512484762,-0.7815249737048576,-1.1322168890951525,2.050941787949356,2.1893459451513104,3.504125541598827,5.611581590210972,-2.016483072045834,-1.1299117414295914,1.0618341410614511,0.7715303588613576,0.4840630012461061,0.4466127993707567,0.3363996003567069,0.0689423481803887,0.0928255109995417,-0.915877840654456,0.1640282597078167,-0.7420707324833484,-0.7342067763137708,-1.03817726734632,2.247569039216087,1.7855084342215284,./emotion-fmri-neu/cp007_beta_disgust_congruent_c0.nii.gz,7,disgust,congruent,disgust,fear,1
-2.234609101103957,-1.8902296363389004,2.2634180039793046,1.999417082184076,-4.721232562059114,-5.662180312311157,-5.882695231209344,-6.7379456404987526,2.0749159177435392,-0.445350516980726,-0.3391345735675879,-2.326154296628825,-3.085186548401583,-4.2641910364599465,1.162335958866089,1.9070360451717585,-0.3069253372959373,1.876904701768755,-1.0709612700368436,0.3552883449039396,-0.2791188500638795,2.453557061579708,-1.0898294910102264,2.564954546952402,-0.459842446485258,3.3368246195113564,-0.7331849222756005,0.4543768306943693,-0.0352315075143555,0.5433755238325575,2.713434526555771,2.4820119065399933,-2.222834616077413,-3.819198198475636,-2.4430542154308568,-2.353804475049338,-1.250846924397452,-4.071560121676446,-1.0264802029737865,-2.91579919346996,-1.4818861412833555,-2.156383529805495,0.1733610715448496,-0.0541059174421636,3.709982440376454,3.65742718411576,2.727898865769147,5.724698731993305,-0.1988601369813802,-0.3919394089723924,-5.039524530897409,-5.5208894746038935,-0.9003683973193438,-1.1713750626596244,-4.035642582868552,-4.059989318636143,-3.131134160136016,-3.215427450891905,-3.651882118267476,-3.596459272991333,-2.379047117454345,-2.290708643554757,1.0846046565915974,1.5193499055342834,0.7997863806893687,1.9078365858815287,2.3045179598297576,2.0822215797517485,3.1631176020587404,6.013461430256659,5.495805119737114,6.859025967453093,0.2771037645933881,0.0306893125637165,2.244754291160832,3.489594226425057,6.134564873733168,7.469496581716385,8.8554768177958,7.728560650751868,3.923484917483285,0.7966402835266918,1.827408752725212,-0.9485219789558884,-0.5834438604739423,-2.992445846915425,0.4818872952148336,2.129808350411152,0.3075729445590056,-0.0525826983660052,-1.0530239862083972,-1.4365602306031795,3.38966750547849,5.331452867047527,3.4057499461578047,3.834868806938833,./emotion-fmri-neu/cp020_beta_fear_incongruent_c0.nii.gz,20,fear,incongruent,fear,disgust,1
-2.1216952493917844,-1.3315534226038237,-0.0235388306982082,0.3930416278402168,-1.1056454827754374,-0.8852288957187295,-2.2457644908239054,-1.2213432394464216,-2.2795896372486864,-0.3022805861922718,-2.189679123019044,-0.6301397914853443,-0.8500316448407745,-1.1269108310733311,-0.0856465103794753,-0.1160628245541918,-0.1094334816576393,-0.6258481301417569,0.426075041980525,-0.3014804424433296,-0.1846683058235476,-0.2714179022708051,-0.9665613062477524,-0.858655163868139,-1.2369075511501602,-0.8056938863808597,-0.802730819486061,-0.6861606844587727,-1.7220459847978948,-1.389510182287913,-2.4539554506179284,-2.125959732312257,-0.0800897636619455,-0.9089843772101186,-1.1754660133861166,-1.8635370121818704,0.2648209320736463,-0.0147587641665859,0.0875456558555701,-0.354049741787829,-1.2520897653425394,-1.0138835083246165,-1.5643101880908123,-0.203636847353003,0.2956189674894039,1.2489486182467993,2.733867496270587,2.549770379672585,-1.8505252819236628,-0.9413310368827108,-1.1482003139656656,-1.4130377327349528,-0.5899671370837278,0.5180748539937574,0.1004813922237675,0.2950849589317668,-0.2172663470311014,-0.5193455949480822,-2.1563924485268777,-1.9974281076422733,-1.021197452294466,-1.1919251359028953,0.5498355196245847,0.7858148453311469,-1.1162358033562825,-0.0797265923236285,-1.984870459454206,-1.753935065758284,0.1004177009498521,0.1222712061231752,2.5071988452413043,2.4135720776673115,-0.8808761769590848,-0.5324102246169463,-1.0491527907894762,-1.161047139822527,0.87346131198101,1.893241071925734,2.0540174476326456,3.644636527456677,-0.8533178428228051,1.005963876118457,1.023199382572954,-0.1667211538931895,0.0785932970784909,-0.6820163021217392,-0.6539047078784279,-0.9923834477954204,0.1646259661603099,-0.6149252690311634,0.3329012181712265,-0.5845214587047216,2.3258681648087123,1.4746131903200266,2.0178377160921306,1.7760071756982962,./emotion-fmri-neu/cp007_beta_fear_neutral_c0.nii.gz,7,fear,neutral,fear,anger,1
-2.0053910914952136,-1.6038947549480476,-2.574408535778964,-2.1236552270517346,0.3353382329122568,0.251283178029885,1.1208671441109688,1.454585884069089,-1.5431427336332266,-0.3967957734166407,-0.9738720144175976,0.2067593268032017,0.2086397568235342,0.800655608779007,0.0682199982696495,-0.1756954061806167,-2.6354925691369733,-0.5838349901618701,-1.605167703420998,0.0358211486690338,0.5768156671933916,-0.3996914991327559,-1.2244199840095435,-0.4821337848019491,-2.750652211202965,-0.6502922340583501,1.3252937420132826,0.7043651644351687,-0.2797506071228297,-0.2399628155949633,0.1885545868811926,-0.2036092711990821,0.0345030589946346,0.3020733325179082,-2.318289190436838,-1.2948620766823171,0.3388392423975189,2.7305577883633667,-3.030091190081297,-0.2030884881550992,-5.361831946398699,-2.13616992374267,-5.481907734673926,-3.7477993856603167,0.8328584622608448,1.5708001986818747,-1.197848625945562,-4.029386381329237,-2.2879117821029986,-2.7978259256297195,-0.1722665087626994,0.7112542434327337,-2.6680275477777102,-2.247848299218639,-2.4981730028613667,-1.5482661933054516,-0.571935599607777,-0.5196470892011504,-3.2311095242644,-2.671452292783497,-7.490732060517896,-6.727986777886169,-6.391873268093372,-5.758355461463317,-2.046089557533994,-1.553607608115522,-0.6065027777445522,-1.108533351175528,-0.0150201022385351,-0.7292974636639088,-0.9197093439070207,-0.4804092193271581,0.9223996577963196,1.1961990344838007,0.930879870795824,0.418311540569697,2.0256547822330564,2.56942461044747,3.0739638072419155,2.896822389878221,-3.2055556503630025,-2.4430217839374304,-1.8633150867576191,0.3272659836675677,-1.7436841076720138,0.3905787571470855,-1.8439604921363284,-1.1546883520014644,-1.227775942294828,-0.934007032381508,-2.522703363984053,-0.5778948316609057,-4.335963465920175,-5.110694479481554,1.0707318476921186,0.6799444067268376,./emotion-fmri-neu/cp004_beta_disgust_congruent_c0.nii.gz,4,disgust,congruent,disgust,anger,1
-1.8953128972019853,-2.1739114876891668,-0.6381682767432092,-2.343020457346415,-2.263013576343442,-1.8998110717949896,-1.872070909557884,-2.19328544810203,-1.180859315327892,-1.2576590136018913,-1.6798363580722462,-1.2346323042800151,-1.416745913983279,-1.4133159359136536,-0.680359396493373,-0.8062113515994166,-2.9272481799257357,-3.949828355014535,-2.544250633954202,-4.181915057227403,-1.9042931412893835,-2.199061919088174,-2.0332461905914125,-2.8132637267490845,-1.5003113259427596,-0.2601343742169987,-0.7547987170444607,-1.5837018609412723,-0.6097405791521978,-0.3890831130044562,1.3691806306113927,2.2007279897279104,-0.770214567434672,-0.6711258446116566,0.0250379135841421,0.2054759399046198,-0.6062778748822112,-0.083192593684991,-1.0736486520004729,-2.056976539564831,-1.0012877282066184,-2.157264159005846,-0.5087950817693085,1.0233188690146908,2.130649837687635,4.553010046637078,0.90325512381031,1.4744092825194302,-0.1606417946127877,-0.6359421649219894,-1.905913148929214,-2.31553090738908,0.3550558027748087,-0.6253779500863914,-2.1363625865852782,-2.5918333896745454,-2.57444532004786,-2.423416858458431,-1.514364128345917,-1.4265395873912057,-1.5371880281236527,-1.050720381081926,-0.2052419485418878,-1.524218444516499,0.1867682694329188,-0.8164178604536303,-0.8049976923605251,-0.079074991803671,0.8490781120127364,0.6558567002295388,1.5980321215392703,1.9372010247024,-0.3310411983992603,-0.9964297725838066,-0.2746001207467883,-0.2118429561883103,2.7684914891681776,3.3763123816381637,5.923280033852241,7.146983919260801,-0.9214105728053552,-2.0373911468938086,-1.2047553388111198,-3.1113393405643373,-1.5581089224281075,-2.200473828772407,-1.7620289573025636,-3.859787163617615,-2.6741747739291437,-4.219844381827312,-2.564205614857113,-4.091393634226877,0.2677001235090188,-0.0583161056820657,4.038356417906842,3.969698878803784,./emotion-fmri-neu/cp011_beta_disgust_congruent_c0.nii.gz,11,disgust,congruent,disgust,fear,1
-1.7363980681050155,-2.3431814025765347,0.0954980881663788,-0.5230413389523672,-3.100588507574245,-4.193461684189915,-1.9064977688342708,-2.3966787929105706,-0.422665648525639,0.944037542960618,0.0599522182298789,0.7581225014854324,-0.9927448234362032,-1.6460956071414583,0.0071262595676177,-0.8296234992310146,-1.412700601630406,-1.3728739402396513,-0.8867297331364069,-2.441851777457213,-1.4807351802541886,-1.9846017316651263,-1.154595949663989,-3.406520352012788,-0.1506373251546968,-1.424518570595726,-1.7189244059990227,-2.266452219044939,-1.1841076407929496,-2.001558019112463,-1.2093041202886796,-2.671910095410511,-0.4675344724824685,-1.0659027086315007,-1.1351191125854008,-1.234141303848292,0.1349492744695058,-0.1959388104107867,-0.460330280230651,-1.6693590641423792,0.313022589510142,-2.196174092718608,-1.1383150048697166,-1.2819098464875789,1.205680582096387,2.234855050577968,-1.6239362032332785,-1.3096468931269232,0.2743115532554802,-0.1704632804979466,-2.239533164849742,-2.6160902916288933,-1.467814339526032,-2.7259769490548424,-1.8900629506456608,-2.1672542282959526,-2.160589406864283,-2.075304695231569,-2.495569598584959,-2.9716982885727568,-3.0581333293631925,-4.135529508603443,-4.621784303411253,-4.262648505021333,-0.0552235273435992,-2.075553281007086,-1.5554227013015307,-1.6673112743833651,-1.8718971225144212,-2.975087937982162,-2.403959905524188,-1.6157846428629483,-2.100338966151782,-1.316940921995693,-1.1123897561023333,-1.6353107188353753,0.4675923182785467,0.2070432703153664,1.167236379999142,1.6713844164149771,0.3774915539288196,0.9660097293357052,-0.7192908473942307,-1.147770926813233,-0.2379247493403826,-0.5481928246750679,-1.832922266028344,-2.741166831026252,-1.7544486360393357,-2.1659874227972704,-2.107986588060415,-2.3564577026150464,-2.9870793573129784,-1.8679865964972389,0.0477794618236554,0.5636604115236338,./emotion-fmri-neu/cp008_beta_anger_neutral_c0.nii.gz,8,anger,neutral,anger,disgust,1
-1.685853320371742,-1.7774467257325153,-1.3720310203827435,-1.2674995785453764,-0.9107922890377126,-0.8466257268996995,-0.9107679248524188,-0.9282999378967784,-0.2742860714370478,0.7370948052367083,-0.9476462913073846,0.1180267194526972,-0.3689005488038693,-0.7428555656960416,-1.1552790086443567,-0.7454573875121924,-2.688248324644777,-1.5472171804164458,-1.6369796279848836,-1.7275253513140851,-1.6280319502078633,-0.7426503378368888,-1.636664617252944,-2.010220577320331,-0.1164365091786831,-0.3117874282482373,-1.200935800889412,-0.967949263209767,-1.057711926356529,-0.6356674491549127,-0.2269101969488806,0.7580490259610668,0.414240170544131,-1.015539162852353,0.3856382547038564,-0.5329498892790625,-0.1675582297622284,-1.3901742409920228,-1.1946718948530697,-1.4601904067231777,-1.3376276515319,-2.1856172563170952,0.6495537278844331,0.8310373626582546,2.6108601495597585,3.1819543092020948,2.3415140821930622,1.5680373077172722,-1.9296122634310109,-1.9354810481282445,-0.7635209108296369,-1.233662124996047,-1.7103713708609871,-1.6911706730932958,-2.0736786675937826,-1.8663312807637225,-2.084273075111513,-1.8935671324612977,-2.0212415619249597,-2.376878917212568,-2.406561536287022,-1.9121477341169744,-2.5188191420004835,-3.168692955419924,-1.043044730225633,-1.2709623476203935,-1.653224795900336,-1.094282564311389,-0.7073088427477539,-0.6626339760843252,2.609660102796128,1.3364957423789947,-0.7518087813124504,-0.7969342152902855,0.4576132655919581,0.0373950205798263,3.499031032307677,3.7502686283099855,4.082690165452032,5.742434987098008,-0.7730029300820864,0.0399272557348567,-0.5339770690103365,-0.7892735208331118,-0.4458545473688935,-0.8671115954373992,-2.2604702005689856,-1.9263697658042087,-1.657169225395564,-1.5286874630236784,-1.591428784549514,-0.719772766631992,-0.7065797792999906,-0.9843106016977082,3.906218714034933,3.7081633549991153,./emotion-fmri-neu/cp021_beta_disgust_neutral_c0.nii.gz,21,disgust,neutral,disgust,fear,1
-1.5342347862232717,-1.5618958525241795,1.383623733174676,0.833795456426091,-0.6132675638157685,-0.323126866319409,-0.9493078641812088,0.1314626643534995,-0.2105209663575959,0.7660504173766155,0.0458494680228895,1.3131865688994266,-0.1567230729610123,-0.7760439138093018,-0.6516481064496857,-0.7459775526097648,-1.8446065914776268,-2.488858566435294,-2.0179431023061696,-2.8621775064342065,-2.4240800347271554,-1.5139302406648782,-2.1358650664298877,-2.550346256651016,0.2707193477374059,-0.0979015208036884,-1.049933585800935,-0.8088943114579281,-0.9214733940648598,-0.5553800953227912,1.930038687443595,1.615325402773699,0.233954200285369,-0.9543032316051028,2.425750431245675,0.9722601568686586,1.548473353671585,1.3804686101675765,-1.2703049367394317,-0.8392652864445739,-2.841901019199747,-2.679870593842772,1.7760903015367886,2.0942324548441418,3.664405391532172,3.866097368158377,4.588585358988131,4.199155845621242,-2.29104640827956,-2.139632430150004,0.4349071535081434,0.4184321665836828,-1.4438263219423533,-1.481959727709126,-0.8905370754251213,-0.7459207639446106,-0.155289472777014,-0.0993818132130669,-0.9998305377064648,-1.1617479417424696,-1.4783455263761591,-1.3788877061793945,0.5687330435522456,-0.2924055103678824,-0.2491476874057859,-0.6381358014135249,0.0332735305248455,-0.4896845506613255,2.6207969383351437,1.741316463097185,4.900433558986735,4.171948544076567,0.3292070091853821,-0.0784011910351035,1.814560251726336,1.4533747541816024,5.732215923929478,5.732243389788496,5.716222428976326,7.507035159633898,0.4163423173646595,1.5600080728042844,0.2437877065212923,-0.805224970088296,-0.6361877910360347,-1.424913640252804,-0.3141962429411853,-1.876319683824316,-0.7276023098232988,-1.71976466594068,-1.8116822326752544,-2.355754834082973,2.421249512997001,1.088414274392127,5.241642164406854,5.257931208244408,./emotion-fmri-neu/cp021_beta_anger_incongruent_c0.nii.gz,21,anger,incongruent,anger,fear,1
-1.5337982688323148,-0.4983992821117013,-2.9922500089614394,-1.8554678925020045,-0.8223850100263763,-1.4831258540533634,-0.0627721522306822,-0.1560943523785069,-0.020559994146929,0.980294552412751,-1.3055292763156443,-0.0185978316303821,-0.9342429161197467,-1.4857175323505052,0.710534378523355,0.7244635436257746,-2.2305770950813604,-0.5916300349750517,-3.046324699812846,0.1822717081659323,0.3576454370216509,0.543718534633976,-2.4867068502477867,-0.0281808226290842,-2.2657934245934923,2.493051106271285,2.095993978637092,1.3676210782653375,-0.1691941283961882,1.2494989514312649,-0.2781725411409796,2.747675406232473,0.2616268239317533,-0.9654616000642394,-0.4149862735336866,-1.0758455578918251,0.2761531742735888,0.6981057833649873,-0.9793606475467423,1.15268824737145,-0.4473914208275378,2.0344743860754675,0.6594230429680351,2.045118718538813,1.3148552877374424,5.169410425179726,2.004175630059696,1.989198370018155,0.4854139467686656,0.3157803064342222,-1.148608187130772,-1.7325838095549286,-0.2529525068073827,-0.282782725619034,-1.747376091978791,-1.0047565706210408,-1.551984425566379,-1.6978783339143833,-0.7948277816470795,-1.3345300588320563,0.5538068726295721,0.9841606422055004,0.7832786721675077,2.326299606811454,-0.1566194309960653,-0.3911136489082073,-0.2026099083673031,-0.4171756832656485,0.7812959311445448,0.23625216653083,0.5452108903431044,2.220660143926892,3.0686921517450103,1.758028298180399,1.4475979841416708,2.8795311193158275,4.84895074895573,6.374833122006456,3.920624066349883,5.296915012863942,-2.3113284015594213,0.3866383564357136,-1.4056388723400066,-0.5215813632666285,-0.3235249067421851,-0.4972317802274816,-3.6953677825792086,-1.5321758406747965,-2.868150324715089,-0.3059713677811994,-2.2442245381281265,0.4227000662441773,2.0802476227139235,2.912289418635527,1.6909983834419686,2.4330394486896627,./emotion-fmri-neu/cp004_beta_fear_neutral_c0.nii.gz,4,fear,neutral,fear,anger,1
-1.404906718466422,-1.300395705305073,-4.598678702619452,0.1289491791735333,-6.622176897882634,-6.709895841167168,-3.904054815228868,0.297688410996036,2.250535456941789,-0.0537801689916783,2.2569757177234364,0.3578226618527325,-2.632798803632135,-2.2022133243870994,-2.72054841202882,-1.4394498285939137,-7.374113042380808,-1.7880997371632812,-3.558830006701436,-0.6933936216074029,-4.925915533051564,-0.5157517927444699,-3.4329608913996275,-0.2264551653658995,-1.595393624098206,-1.2265218227681882,-3.988814234863546,-1.411378074785719,-1.5137570923434642,-2.481875980781882,0.7002460254512005,-1.0903339527943132,-3.3691730856893702,-1.862152825775784,0.3209420764735073,2.009791476414724,1.5477687301395262,0.8087516678630711,1.807159175110889,0.5689322756164941,0.6113063321276831,-0.7250209125834609,1.9294977536006863,-0.1824698946698863,-0.7195796500252721,-0.5647456843484584,-4.166934783273676,-1.8819784533920456,-4.261939417295164,-5.202661091095624,-3.1403828411292904,-4.537651458630462,-6.317466030836474,-7.276552942430096,-0.4067931024884099,-1.1314114437682183,1.794543615178263,0.5161104947756062,-0.7283714196242185,-0.4612998890781927,-0.043189895549042,-0.8252747648940497,-5.899839874609082,-4.704597184596984,-4.04881993448788,-2.704988260840477,-2.414029885805236,-2.7332171582060645,1.2331579987600128,2.074848977964044,-0.3957328956353801,0.6186393588428538,-2.3266066896541826,-1.8873571035020256,-0.0684690139954935,-0.0302357190988269,0.5270248910435243,0.6540507142217761,3.6312139990338816,1.800854159996801,1.0092193186629193,1.8591747928024216,1.373459891343657,2.426300198232852,0.449600486367193,2.107054125307872,-9.51873173516141,-1.8575469256149573,-4.118589144507156,1.2025138344505073,-4.109366128361224,-0.9082280261980008,-2.85066531302281,-2.9444099821834837,-0.0090519846158037,1.616000119827341,./emotion-fmri-neu/cp020_beta_fear_neutral_c0.nii.gz,20,fear,neutral,fear,disgust,1
