Brodmann area 20,Brodmann area 38,Brodmann area 36,Brodmann area 21,Brodmann area 28,Brodmann area 11,Dentate,Brodmann area 35,Brodmann area 47,Hippocampus,Brodmann area 34,Amygdala,Brodmann area 18,Brodmann area 37,Brodmann area 25,Brodmann area 17,Brodmann area 19,Optic Tract,Hypothalamus,Brodmann area 13,Substania Nigra,Red Nucleus,Caudate Tail,Mammillary Body,Putamen,Brodmann area 32,Brodmann area 10,Brodmann area 30,Brodmann area 27,Medial Geniculum Body,Brodmann area 22,Lateral Globus Pallidus,Subthalamic Nucleus,Medial Globus Pallidus,Caudate Head,Brodmann area 24,Lateral Geniculum Body,Anterior Commissure,Corpus Callosum,Ventral Posterior Lateral Nucleus,Ventral Posterior Medial Nucleus,Brodmann area 45,Brodmann area 46,Pulvinar,Medial Dorsal Nucleus,Ventral Lateral Nucleus,Ventral Anterior Nucleus,Brodmann area 29,Brodmann area 41,Brodmann area 42,Brodmann area 6,Anterior Nucleus,Brodmann area 44,Caudate Body,Brodmann area 39,Brodmann area 23,Lateral Posterior Nucleus,Brodmann area 43,Brodmann area 31,Brodmann area 40,Lateral Dorsal Nucleus,Midline Nucleus,Brodmann area 4,Brodmann area 9,Brodmann area 33,Brodmann area 2,Brodmann area 1,Brodmann area 3,Brodmann area 7,Brodmann area 8,Brodmann area 5,filename,subject,emotion,priming,true_label,predicted_label,error_count
-3.831930435414169,-3.62127331454532,-1.565743941575608,-3.0239691898589176,-3.462212466009679,-3.619876980610075,-1.3347640763663768,-0.3652799375493396,-2.9670674190868165,-0.7537054398605381,-2.667187216752085,-3.3069472022055364,0.7575655112943093,-1.1652226191630364,-7.36669610151118,2.95058986804062,-2.1261049092289963,-0.8283647814881103,-3.194678504145015,-0.2642158723457146,1.4118015233313892,0.0748686909447073,-2.789161928051526,-0.650552508794908,-2.369285585667579,-0.3473221797399805,1.069296562587299,-3.883983955378748,-1.4509206081674495,1.153516793005125,-2.788831209685783,-2.0601727664796208,-0.120185028740647,-1.9212407928237747,-9.76254974617433,0.869175737488077,-0.0746777700142534,-5.126203112667047,-0.5801520531625703,1.0951612459575442,0.7842460271687332,1.0580747252031952,2.401815621612336,-0.5160509447465326,-1.81431260972728,0.4527660605445644,-0.1684933745844299,-2.4575586417286117,-1.7063982139066287,-1.046052900160409,-3.1761785718264424,-2.098435459122906,1.3523912767039117,-1.1699500502243054,-2.6336958465791547,-1.2923727577413546,0.4359416815349523,2.166319109369777,-1.7862415162642735,2.502016027736345,-2.539252080419608,-5.112847272386547,-1.6042500313214287,-1.9805795706511915,4.647681090200854,0.5636266204193653,-0.6302517083540388,-1.2716042821748643,3.100687858225502,-6.380368019897425,0.0192899925790151,./emotion-fmri-neu/cp020_beta_fear_neutral_c0.nii.gz,20,fear,neutral,fear,disgust,1
-2.0711526378212186,-0.9016518850186712,-1.2737883249815476,-1.5717375882688145,-1.1718365007936646,-1.388457540530437,-0.3881202340164136,-1.0795936068091585,-0.9032964309870511,-1.0488990876591695,0.1970927446345837,-0.3803899021046114,2.2237071681984117,-0.2469565368739476,-0.5475565702390148,3.258670172811521,1.6557948037959709,-0.8526460214638478,-0.3123215909153022,-0.1106902238576061,-0.1182823985494173,-0.245143277623774,-0.4960596880696989,-0.2004129797087713,0.0641395494095424,-3.4307835883174365,-4.650001357574404,-2.36726712395772,-0.5108971645192354,0.2078609291528907,0.0558387066733953,-0.5298374139613369,-0.9633831863247728,-0.8886407606181989,-3.3236129070386053,-2.4000908578773505,-0.0529581994015072,-2.25313939396894,-2.0519959233493896,-0.2266238980994118,-0.1289909140751505,-1.2457925055293333,-1.4559843196212172,-1.2189471039699185,-2.143575050138933,-0.3839354679701455,-0.9926611038827072,-4.831145550252547,-0.8740026831959825,1.1652459106404087,-2.456215591115746,-3.860524925379762,-1.1248352554556995,-3.725019682386416,-1.251771209303462,-2.68261048003604,-0.4924056970954832,1.2077965718020676,-2.9176515920529664,-1.2142690662524354,-2.34718562209802,-3.7842689274247023,-0.733053728946137,-4.094124459981338,-1.1082281348962597,0.228958794221262,1.2443757189099935,-0.3821767949212289,-3.982916311695111,-5.218233397493097,-2.3451448770398278,./emotion-fmri-neu/cp007_beta_disgust_congruent_c0.nii.gz,7,disgust,congruent,disgust,fear,1
-2.04352289173976,0.023705492260504,-1.5043132033927284,-0.7453742198981294,-1.601584374265768,-1.163058717444918,0.2046293109772939,-1.276019463657911,-0.6851420984892304,-1.108930636534296,-0.8517023692134195,-0.8939314466949384,3.1994663451572016,-0.9036495067710671,0.0053991612047855,4.756339852249378,1.4810063857959126,-0.5419822547217032,0.9677278308205048,0.2539823411998035,0.4342458133555871,0.525539615367779,-0.6763855207168555,2.0776454828984114,0.3206475204367563,0.1879485854342779,-2.763414281872024,0.9319116022555146,0.1888657437122828,0.6072952508011776,-0.0332778321923375,0.4727454979108221,0.550566090290448,0.1725957312975475,-2.3523702837772884,-0.90679818676695,0.1330851280315433,-2.3781100985444974,-1.5830719651520528,0.5065310638781589,1.5060681919532433,-0.6892947102379119,-2.296507946582948,-0.4425951680028201,-1.582557654262025,0.0684519349331303,-0.6329603650506402,-0.9013620346565072,-0.3780182429678929,0.8396716168065484,-1.023181244134829,-1.91156279916148,-0.2046397245457997,-2.488177340364353,-0.9431497266472192,-0.5459121756895688,-0.5139946728465661,1.0643432427442665,-1.6718885636401652,-0.3689866040662662,-1.344318579082735,-2.172716114720913,-0.3628780598170742,-1.2722940529931783,-1.1662666803497868,0.5214345818118035,0.7791102572406011,-0.3654473487596858,-1.7349879769426522,-1.856983249591372,-1.5949982389154675,./emotion-fmri-neu/cp007_beta_fear_neutral_c0.nii.gz,7,fear,neutral,fear,disgust,1
-1.7820964730568252,-1.2020350875082222,-1.4941243195376597,-1.9590676291498328,-1.6366281407354375,-0.3996719004065042,-2.125657480799081,-2.064461009917862,-0.351400611289951,-1.306376815499276,-0.7305103934739899,-1.5751646873412417,6.2244424318843,0.0640598167040574,-1.579240467020553,10.727153676846669,4.506117209198048,-1.394608856734684,-0.8691033282711923,-1.4214052515965894,-2.1705989673670896,-3.073416214268852,-0.9626258259285684,-1.6469885417976682,-0.929395252306802,-1.4261288238127134,-0.1628440456934982,0.8460691203209773,-0.5594025358058017,0.4705783204112813,-1.854878949274473,-0.831100141746702,-1.594398270408718,-0.6254558284649389,-1.2961956317928809,-1.5365827870487696,0.7638872521623764,-2.246906677621491,-0.8505064439473651,-0.0086236850699923,-0.2533676130051982,-0.4130541176316446,0.5155999456322319,-0.7509280698529788,-1.9786551097899605,-0.6382872105445755,-0.923923950003672,-1.9952202364757423,-2.084685874039212,-2.051886076962987,-1.1141268912775502,-1.8576218931866533,-1.2056615007434417,-0.7643585160450721,-0.83143317093441,0.044533081588671,-0.4435430506201726,-1.4463300662371297,-1.7740590468174402,-3.297454142676701,-1.9352023036879489,-2.36180070745996,-0.474451912294009,-0.9920550644115556,-0.430611850640912,-1.4004703162846297,-0.8059961906686847,-0.5408938716680123,-2.318630234499165,-1.7956206006503594,-2.112995750759099,./emotion-fmri-neu/cp030_beta_fear_incongruent_c0.nii.gz,30,fear,incongruent,fear,disgust,1
-1.3459583852117172,-0.3077429144632069,-0.8686257444429596,-1.1409288669041626,-0.6742298153194822,-0.7834141009707521,-0.2910472207135242,-0.9069593875766572,-0.3165693831257918,-0.1564626488547038,-0.1961650058922739,-0.1544410236415265,3.234938704463332,-0.2963835722062746,-0.4750289882585239,4.690067703789118,1.9647513968896544,-0.1602359336294556,1.0454408374868411,-0.0694334302253659,0.0509743278565003,-1.1417857056457184,-0.1718228425105631,0.4344126213518262,0.0012501275099811,-0.980082303931844,-2.106480022969845,-1.1197771446583322,-0.2696220103097045,0.235863233853505,-0.6335411230673156,0.0307152207020925,-0.1000858680614243,0.0292479521065499,-0.4844755436062737,-0.8964099905931718,0.0440423945678973,0.909066108927914,-1.095329931120692,-0.5499098081613659,-0.3301516537133114,0.2011652612118088,-0.3200004007993864,-0.5723919417423194,-1.7095912738912489,-0.7893590326644039,-0.9631581785322596,-2.6244813596917504,-0.3915234075198885,0.4169654737842648,-0.8356660916590997,-2.0031812539565106,0.0668424398565979,-1.183758110160621,-1.0266807204498496,-1.733681954286094,-0.8661705201346352,1.0535603950393744,-1.7024475867366564,-0.0428532810478529,-1.3734478010319942,-1.822209942892102,-0.3015885430602863,-0.93619936485697,-0.7855758921952116,1.3691962699444236,1.468101278339872,0.1604381509680394,-1.658162366390976,-1.68405131978101,-0.7660237624907852,./emotion-fmri-neu/cp007_beta_anger_incongruent_c0.nii.gz,7,anger,incongruent,anger,disgust,1
-1.3447952989470302,-0.8672118359195039,-1.794289310042887,-1.2215765957479303,-1.2304804864835446,0.0788705777985808,-1.9971191484100097,-1.9756768036559924,-0.744007374855864,-1.0494721219284773,-0.3728107550054643,-0.4097640352813085,4.479630884224693,1.2889209292576682,-0.7722678980098063,6.673617946627759,4.034389471787914,-1.9281041207244616,-0.1546376902431321,-0.5907077907916545,-0.7988734256739268,-0.5736404018506007,-0.5380391029063157,-1.564899718374976,-1.223938901451134,-2.19877068487308,-0.8766395093221577,0.1618146911536266,-0.3065673993171805,-0.2676238621207782,-1.111704103934205,-0.7004555466862868,-0.811461708884395,-0.446851241850233,-2.809980330723268,-1.7821548135877578,0.0789305468394885,-1.912476036607848,-2.534817854237972,-1.3093455625907244,-1.791529935854402,0.0446696508779006,0.1901503482828981,-2.489992255521884,-3.654860694422872,-1.53584452321049,-1.6453789038537905,-2.9543816380796444,-1.4383210159481243,-1.0499550566578253,-0.919520761654019,-4.120087094551867,0.7756376586254263,-3.044618854586384,-0.3802712993645583,-1.7409696802701649,-1.7999475216491827,0.4206733188747249,-1.978338936765822,-1.0513713946326022,-2.877917692207965,-3.740776721351744,0.3424299206143729,-1.0862538883202912,-2.062166918673656,1.3920688997806283,0.834437202905682,0.4438188044057288,-3.907323841354235,-1.944643497917896,-1.262841716702362,./emotion-fmri-neu/cp030_beta_fear_congruent_c0.nii.gz,30,fear,congruent,fear,disgust,1
-1.280136810717148,-1.2718359813938596,-0.7484004186582123,-3.281888659203549,-1.256861706467321,-0.1782264824522101,0.2949227196406639,-0.8433051389860842,-1.190214096158721,-0.977651560123762,-0.5852828210946474,-1.3864246771449895,4.364251765251864,0.7369147838396769,0.3002896255683476,6.153146355831643,1.1607450492035225,1.0275737517478,1.7388498447902014,-2.8012706226469755,-0.5325274821133805,-1.4102892167673522,-1.1959832244369042,-0.3690707132065469,-1.183903288942034,-2.554515180141202,-2.600676533176103,-1.1609045607745312,1.3367497505438706,-0.6267385345403593,-4.043330570163046,-0.5025522529557898,-0.7735741742286888,0.2570546242849559,-1.671130167257559,-2.671446268355034,-0.3239464242041083,-0.0520140663048186,-0.6670332950925688,-0.9704009815350424,-1.0846770241688446,-1.4388886405120809,-0.5809584344280888,-0.3441278807267855,1.481463964524908,0.2437774119862621,0.2392377018946572,-0.5893801813176716,-5.176485960549124,-4.197945134287833,-2.5755080259697767,-0.1257569693880086,-1.9497077203756008,-1.7834578316515537,-2.4369834788865625,-2.185848284018848,-0.7914872218996397,-2.9371275883678383,-2.7740707869119348,-2.349091622652482,0.6462934230069759,1.4574135421899548,-3.4704884953645494,-2.865404003923875,-1.946545222486727,-1.7347767722560177,-1.859598235883521,-3.308568694700513,-3.2893862849144084,-2.763705448317653,-3.419128626657537,./emotion-fmri-neu/cp011_beta_fear_congruent_c0.nii.gz,11,fear,congruent,fear,anger,1
-1.19083245517611,0.2001590032159401,-0.8221015834301815,-0.5331890306647032,-0.840574536118557,-1.8401878546538148,0.1230725127797923,-1.1146422286596345,0.6450129854918105,-2.0571567884616675,0.5597320139415586,-0.495987926202569,2.1345264666726718,0.9943359185121894,-1.7971466558179086,2.9792982305534235,1.5559136010843897,0.5585149623684259,0.9729489150143692,1.5552339519690812,0.0096641940688424,0.6935959098406705,0.1424553608196689,1.7842194699624483,1.9531207126661203,1.2735839735749857,0.8213525374152291,2.244230960939563,0.7559569600761511,-0.5720783725425375,0.8687674358012093,1.8769442635255944,0.3750701836797722,1.4843771148640157,1.1172503698271334,1.1237797816507005,-0.2561652482030077,-1.9717125973836636,0.9065461934443944,0.767476373028181,0.7567829295398741,1.137301669634795,1.1610929902778555,0.7795414754762429,1.560420006604132,1.014037194615219,0.6336859873283278,1.292343885690864,0.995543815902718,0.8814356534358978,2.1298679927249338,1.231900505004143,2.505817786790646,2.9488207548960466,0.2032482894968603,1.843259313984856,1.1950415571778925,0.3893137873178721,-0.183935620199334,3.371702453144244,1.8506768772826745,1.7687419467987937,2.50847311902075,2.4713181677464355,1.2352934495900538,4.391926654548953,3.880935186164889,3.0711549043189548,0.9225327655111104,0.9665077690689386,2.662820047216338,./emotion-fmri-neu/cp014_beta_anger_neutral_c0.nii.gz,14,anger,neutral,anger,disgust,1
-1.1458818177701389,-1.6270828315656334,-0.7818200139065652,-2.2739118604146733,-1.3962340469814891,-1.62901197400065,-1.3500870531313451,-1.4955502893915864,-1.274098836600886,-1.2376030269940628,-1.362372762354662,-1.643097680901398,5.052271894893538,1.172663813782042,-1.7674621227191845,7.142454377309065,2.5782194552581563,0.4717044836310238,-1.6048308729959306,-0.9216674613709532,-1.689463142661267,-0.6531207148620385,-2.609571114447952,-0.2151130218645691,-1.09763987759717,-2.2833173845833894,-3.4889763711868125,-1.0258771130112885,-0.5255568705041568,-0.0497561471742419,-1.356240702766656,-0.817267515333029,-1.173705387042021,-0.6165084081878558,-1.516287380574972,-1.8186651454310565,0.0290745784842464,-0.8816493362481247,-1.3824189552553612,-0.058421044601365,0.2026985346956685,-0.0239293541555748,-0.2763460756951317,-0.9500411542331644,0.9923516529170328,-0.5816377429853096,-0.9749950857065692,-2.146591611969599,-0.8030756639560562,-0.4656245475723058,-0.6793752813884404,-1.501449565890833,-0.8730606447373604,-0.7199591666272054,-0.4651787644186665,-1.4385734684508606,-1.5926195764413662,0.5110946741638148,-2.863749780748273,-1.5654258528999665,-0.668347856612397,-0.0133905872315943,-0.9528396660237646,-0.8272257738072913,-1.0758773707810625,-0.1728624494900732,0.3292867597737014,-0.7525631580249486,-0.951598222336368,-1.2508923256803022,-2.0974487480436084,./emotion-fmri-neu/cp021_beta_disgust_neutral_c0.nii.gz,21,disgust,neutral,disgust,fear,1
-1.1367277958629332,-0.2503467908092661,-0.9894763966560364,-1.0018459410265996,-1.1124244473956444,-1.5304435600611062,-1.1477707556484604,-1.4695206982809148,0.6288791421690322,-1.8002190788834245,-1.1730581025490718,-0.7086297844836501,3.9719318731291104,1.1062315147700992,-1.461010290875122,5.4355011649730764,2.1867141842481623,-2.433223722128372,-1.8359939453132184,0.5917163000293653,-1.0796454456897804,-1.730681762035584,-1.4779996064120988,-1.6439545979657786,0.5119465013091788,-0.5798240309304458,-0.6730712328776377,1.368349796618917,-1.521650733725503,-1.257504293647594,0.4852518003350485,-0.0123780176329498,-1.4480255604710417,-0.9873787067329426,-1.7941163582430404,-0.3925254484604906,-0.6697622899492277,-4.552053401385448,-0.8189747124488485,-0.9884668693494896,-1.1785159844395643,1.5841931508096474,1.4150516965861248,-1.7281841863059553,-1.9201736094778137,-0.8572375829644492,-1.2930640231969357,0.981022744176786,-0.5414346352305697,0.0674304667678792,0.8285498607092222,-2.3585880119763933,2.2147784971876674,-1.752933629944602,-1.2128863500601357,1.7573744090474066,-0.9679152489291908,-1.6640904263269898,-1.6391175886079743,1.3359637746166664,-1.6231376688135877,-1.6850880006450364,-0.1093439867229531,0.2237596193647889,-0.6388566431857567,2.1381381656531104,1.4165518159825805,0.2654420712349329,-1.1035439742642534,-1.4566611998300691,0.4113442019292981,./emotion-fmri-neu/cp014_beta_fear_neutral_c0.nii.gz,14,fear,neutral,fear,disgust,1
