,anger,disgust,fear
Feat 1,0.0010244320184479058,-0.004421874778452796,0.003397442760004547
Feat 2,-0.0009235035015521119,0.001104889221717034,-0.00018138572016276888
Feat 3,0.0010826186613106257,-0.004292768986781903,0.003210150325470267
subject,0.003949466618373129,-0.005161877201965231,0.0012124105835941029
