,precision,recall,f1-score,support
anger,0.6417910447761194,0.5972222222222222,0.618705035971223,72.0
disgust,0.6338028169014085,0.625,0.6293706293706294,72.0
fear,0.6794871794871795,0.7361111111111112,0.7066666666666668,72.0
accuracy,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.6527777777777778
macro avg,0.6516936803882357,0.6527777777777778,0.651580777336173,216.0
weighted avg,0.6516936803882358,0.6527777777777778,0.651580777336173,216.0
