,precision,recall,f1-score,support
anger,0.5606060606060606,0.5138888888888888,0.5362318840579711,72.0
disgust,0.5394736842105263,0.5694444444444444,0.5540540540540541,72.0
fear,0.5945945945945946,0.6111111111111112,0.6027397260273972,72.0
accuracy,0.5648148148148148,0.5648148148148148,0.5648148148148148,0.5648148148148148
macro avg,0.5648914464703938,0.5648148148148148,0.5643418880464741,216.0
weighted avg,0.5648914464703938,0.5648148148148148,0.5643418880464741,216.0
