,precision,recall,f1-score,support
anger,0.39705882352941174,0.375,0.38571428571428573,72.0
disgust,0.4927536231884058,0.4722222222222222,0.48226950354609927,72.0
fear,0.4177215189873418,0.4583333333333333,0.4370860927152318,72.0
accuracy,0.4351851851851852,0.4351851851851852,0.4351851851851852,0.4351851851851852
macro avg,0.43584465523505306,0.4351851851851852,0.4350232939918723,216.0
weighted avg,0.43584465523505317,0.4351851851851852,0.4350232939918723,216.0
