Feat 1,Feat 2,Feat 3,Feat 4,Feat 5,Feat 6,Feat 7,Feat 8,Feat 9,Feat 10,Feat 11,Feat 12,Feat 13,Feat 14,Feat 15,Feat 16,Feat 17,Feat 18,Feat 19,Feat 20,Feat 21,filename,subject,emotion,priming,true_label,predicted_label,error_count
-0.1439485969996246,-0.0261030698990595,-0.0361832571449646,-0.0771324274058818,0.1622116784260872,-0.1794899492341478,0.2156888103637128,0.3068562118710712,0.3995262471018966,-0.0387963814331745,-0.0715735702734776,-0.0542396263566393,-0.1172476544642762,0.292763247579775,-0.0965659798566632,-0.1833079960194736,-0.0851245429735728,-0.1476811022797437,-0.0353256502571869,0.2109964957098711,0.3154391926397003,./emotion-fmri-neu/cp020_beta_fear_neutral_c0.nii.gz,20,fear,neutral,neutral,congruent,1
-0.1422776053895972,-0.0241243592656782,0.1023958601932899,0.0764926692899329,0.0050195114762662,0.0137104271761434,-0.0299906187101218,-0.0468595339265986,-0.0185632361933772,-0.0944402371123928,0.0206625290577884,-0.0343543361130002,0.0312515934352731,-0.0167203120975261,-0.0578975428623221,-0.0465415004404941,0.0571093047993933,-0.0197409614954958,0.0320477847523784,-0.0011589213606112,-0.0011708048944812,./emotion-fmri-neu/cp011_beta_fear_congruent_c0.nii.gz,11,fear,congruent,congruent,incongruent,1
-0.1341515529909322,0.0202030393125252,0.0541503712362241,-0.0603657530701676,-0.0921315615506041,-0.0382306481001755,0.1173110200255146,0.0020705426391145,-0.0207519081293531,0.0100537390652283,-0.0283553357978201,-0.0475809555578677,0.1028556762714405,-0.0496237985630623,0.0207977696148107,0.0795320873340052,0.0080861172172379,0.0508262794577928,-0.0563451926465446,0.1347698188197465,0.0009105039224109,./emotion-fmri-neu/cp007_beta_disgust_congruent_c0.nii.gz,7,disgust,congruent,congruent,incongruent,1
-0.1097693606546901,0.0041028747563177,0.1111148464290785,0.0308667313752239,-0.0153628624565045,0.0109629359883963,-0.0379358023208346,-0.0232155750452801,0.0078294746061868,-0.1135575077393673,0.0131787941400062,-0.0413733485190274,0.0282400079207443,0.0254410301520694,-0.0624347874590933,-0.0528181190860925,0.1267256356027404,-0.0580131806413779,0.0248326335997867,0.0046031305232457,0.0101283684017096,./emotion-fmri-neu/cp011_beta_disgust_congruent_c0.nii.gz,11,disgust,congruent,congruent,incongruent,1
-0.1034215192556725,0.0561684332281925,0.0366763792622564,0.0069918013574744,0.0145309046850699,0.019070529947299,-0.0683614373434735,-0.002789239224891,-0.0015817714587123,0.0075062128399599,0.0110155380177473,-0.0431146319368573,-0.0133835238652746,-0.0140028224613428,0.0704964851051354,0.0599512251547137,-0.0177133992560584,-0.0018640524579473,-0.0620930575475928,0.1082747983824329,-0.0565294212619019,./emotion-fmri-neu/cp021_beta_disgust_neutral_c0.nii.gz,21,disgust,neutral,neutral,incongruent,1
-0.0965330238062535,-0.091889690251451,-0.0766206539640007,0.1033441026412384,0.135824571249439,-0.1101593694360938,0.0678910918366463,0.1145047797979622,0.0703855913681206,0.1109028504684483,0.1566652916672861,0.1043631450579261,-0.121245708535351,-0.0085168820933513,-0.0042009474427394,0.0110533043844631,0.0936942647068797,-0.0839249749818076,-0.0595693356638853,0.0479371001798737,-0.1263248100154185,./emotion-fmri-neu/cp020_beta_disgust_incongruent_c0.nii.gz,20,disgust,incongruent,incongruent,neutral,1
-0.0853248622200482,-0.0617860862211068,-0.0183291360282676,-0.0231262801101666,0.0022043362922267,0.0247229945773719,0.0276813497590769,-0.0886165661103774,0.0246313984566752,0.0013833357561374,0.0182267600447626,0.0116000989238615,0.0198920274563428,-0.0175214323014925,-0.0045114061781877,-0.0149387302222929,-0.0180885728288646,0.0020864632861011,0.0364389660663725,0.0066373273521543,-0.0304806798060137,./emotion-fmri-neu/cp016_beta_disgust_incongruent_c0.nii.gz,16,disgust,incongruent,incongruent,neutral,1
-0.0795444597443323,0.0240738796411173,0.0484636400014677,0.0705915770058894,0.0549799322890222,0.0569790314551093,-0.063868389933245,-0.0138192141380598,-3.808629024368293e-06,-0.0064467680426009,-0.0311161914718902,-0.0545453219909257,-0.0642243021616288,-0.0544920001655997,0.0696788309850325,0.0090358369240164,0.0417502105778466,-0.01720212252042,0.0437797591879187,0.093250009908835,-0.0406417156103396,./emotion-fmri-neu/cp021_beta_anger_neutral_c0.nii.gz,21,anger,neutral,neutral,incongruent,1
-0.0767235175736131,0.0389601111406675,0.0941120487124557,-0.0208126593471353,0.0383850278391894,-0.0261230835052655,-0.0283866183342252,-0.0077884800893503,0.0336245421312669,-0.0819453049753534,0.0147268475963106,-0.0479900323850064,-0.0357874347223378,0.0525586188649808,0.039765058376255,0.0652600823482404,0.0450347041593661,-0.0897863954444356,0.0440006849452071,0.0248932397487847,-0.1051693463677945,./emotion-fmri-neu/cp021_beta_anger_congruent_c0.nii.gz,21,anger,congruent,congruent,incongruent,1
-0.0726203879218983,-0.0886334491069985,-0.0328001840995129,-0.0168857902357352,-0.0152491160224378,0.0374955875039292,0.0352604361033835,-0.1005734003857565,0.0463632136591404,0.0116739992056553,0.0129804857361187,0.0023939390735954,0.0485668240749814,-0.0033682439250221,-0.034514422772302,-0.0183837044647827,-0.0245010317784988,-0.0033423495085608,0.054405003855708,0.0184397302041127,-0.0129924041743264,./emotion-fmri-neu/cp016_beta_anger_incongruent_c0.nii.gz,16,anger,incongruent,incongruent,neutral,1
