Inferior Semi-Lunar Lobule,Cerebellar Tonsil,Inferior Temporal Gyrus,Uncus,Middle Temporal Gyrus,Superior Temporal Gyrus,Sub-Gyral,Pyramis,Uvula,Uvula of Vermis,Fourth Ventricle,Tuber,Pyramis of Vermis,Nodule,Culmen,Orbital Gyrus,Tuber of Vermis,Fusiform Gyrus,Parahippocampal Gyrus,Rectal Gyrus,Superior Frontal Gyrus,Declive,Declive of Vermis,Fastigium,Lateral Ventricle,Inferior Frontal Gyrus,Middle Frontal Gyrus,Cerebellar Lingual,Medial Frontal Gyrus,Lingual Gyrus,Inferior Occipital Gyrus,Subcallosal Gyrus,Middle Occipital Gyrus,Culmen of Vermis,Extra-Nuclear,Caudate,Third Ventricle,Anterior Cingulate,Lentiform Nucleus,Thalamus,Insula,Claustrum,Cuneus,Posterior Cingulate,Precentral Gyrus,Transverse Temporal Gyrus,Postcentral Gyrus,Precuneus,Superior Occipital Gyrus,Supramarginal Gyrus,Inferior Parietal Lobule,Cingulate Gyrus,Angular Gyrus,Superior Parietal Lobule,Paracentral Lobule,filename,subject,emotion,priming,true_label,predicted_label,error_count
-3.639198282680719,-2.222574553425194,-1.181776707868912,-0.3277321541537424,-4.0989602592993615,-6.712786518507046,-3.1226798070824784,-4.1401915087192105,-1.6682638693155418,-3.0989548822246533,-6.358617322973619,-1.5327063325225294,-5.107724353830364,-2.688198987704719,-2.543502847557308,0.4879110800313556,-3.0687368922369664,0.0706783926901055,-2.448018178786011,-0.4517516931484152,-0.7093301291698032,0.4827374633455558,-0.4722331476348149,-3.082723246799397,-8.366021137212957,-5.60779677113132,-2.056412853196837,-8.40363262064121,-1.3171169218856569,0.6800373707630054,4.0696272551719614,-6.196140291147791,1.895015337754256,-4.869391050627168,-6.450806582578817,-10.433648700646811,-10.230769329092148,-3.7684477914457424,-5.478487474777506,-8.578394252236427,-10.04957275633686,-7.697467269772769,-2.7080352441814566,-7.833131588466929,-4.151596007180383,-11.57997465999831,-4.594202089883008,-6.411753325269331,-4.0668457781952005,-7.9947828251384605,-6.482271307866378,-4.427893009954303,-7.556431249572863,-2.1931679349249382,-3.243299255897232,./emotion-fmri-neu/cp020_beta_anger_neutral_c0.nii.gz,20,anger,neutral,anger,fear,1
-2.811497351311387,-1.835856833598806,-1.179198717219166,-1.5575382403805829,-1.0594520577015851,-1.6945502555582728,-0.2981631889519089,-2.683090682001824,-1.6192432427988528,-1.3583415942755908,-1.179474371381806,-1.907556703950468,-0.953797371046428,-1.3858267689292458,-1.3603868112672346,-0.4723096374500026,-1.287129647901036,1.3972758104105858,-1.4349042221831103,-1.2900376385996677,-0.8505926714371216,2.029139185239599,-1.53008781774584,-2.1711751667133767,-1.4331459572628302,-0.2358791040927983,-0.6540042023136688,-4.51461899577079,-1.1250077679384087,7.270006978176237,4.2652731644045385,-0.96500924740832,5.915786146421476,-3.1170746384806582,-0.7551138003592848,-0.9702388468935303,-3.014224303136769,-0.8189151489827668,-0.8814204480491732,-1.0099815249581592,-1.3318356664743187,-0.6520789952589131,6.171520414286218,-0.5147964933446678,-0.4324991956130053,-2.0707645148343685,-1.1700603312199531,-2.37168789940573,6.001794929873551,-3.7782895321436,-2.7803720084322348,-1.3358953468649273,-2.296961170844697,-0.2130463160128011,-2.7846942623627045,./emotion-fmri-neu/cp030_beta_fear_incongruent_c0.nii.gz,30,fear,incongruent,fear,disgust,1
-2.35254849541438,-1.7182105643221235,-1.0785436232361143,-0.8801814395135338,0.6148431467915426,-0.073833702187999,-0.5752667327142817,-2.202544237623561,-2.107616641326423,-2.280256398477877,0.377273590947051,-1.7785345956553404,-1.9150769816536208,-0.7851315755462691,-1.1640621556784103,0.2708616465518543,-2.049747351821255,-0.1051906847875051,-0.8742877128177727,0.1210149461049652,0.1530046328674951,1.0620624050618237,-1.3743149080302337,-2.568408513047064,-2.0633397823709068,0.1622268912313627,0.4877426244513703,-2.6088968161751023,-0.0861006273561611,4.794579139826091,1.5233518667031862,0.6431476338917744,2.5957721174519506,-2.0817495831275403,-0.6917923612290557,-1.1388097267039754,-3.0047489789271533,-0.1104709137994789,-0.3475997059674016,-0.5687871206506024,-0.949201365769319,-0.4609264213540469,5.5635849710133005,1.7211282530855947,-0.2889506665089777,-1.2825060343661043,-1.7377010413806666,1.6181602114388904,4.078562112661286,0.494668833576974,-0.8044506663552591,-0.4227982973291563,1.9537695486130324,-0.7727911704642615,-1.6868775425267477,./emotion-fmri-neu/cp030_beta_fear_neutral_c0.nii.gz,30,fear,neutral,fear,disgust,1
-2.190231669988843,-1.1478492767048292,-0.1701093951703845,-0.8615707895801946,-0.6580204535206701,-1.208532135828106,-0.4111823505388769,-2.174974135373769,-0.5848430177326135,-0.6357804944371725,-1.822992211224484,-0.600601619273101,-1.0308240862775109,-1.6472729330759577,-1.0022858525990126,-0.1305044484307212,-1.4577517293688431,1.728511621676689,-1.3320481310125418,-0.7638200404635158,-1.1767382484467284,2.6304600646541454,-1.4515593996531544,-1.787547078993967,-2.6424905409898,-0.2845027045493234,-0.8745354322398825,-4.428209752951516,-1.272809410084779,4.360728780004769,4.4793705567701005,-0.1916370538902395,5.9482174637366425,-0.3651003366309175,-1.3920185776487963,-2.7600697485909413,-1.7070737404572272,-1.7866456153535255,-1.054618381421229,-2.408794848088317,-0.4590047433548597,-0.7172288382652516,4.258208133590949,-1.5855033986677634,0.1057618285856481,-1.0446313793167152,0.3545625544976449,-3.8914084767024257,4.2444294455714,-2.2449273777520053,-1.1042893283414783,-1.7325181361937754,-1.3691917935792977,-1.528624650953006,-1.799816234047562,./emotion-fmri-neu/cp030_beta_fear_congruent_c0.nii.gz,30,fear,congruent,fear,anger,1
-2.0778304076617173,-0.8719235593075139,0.0070510279011888,-0.6148825526493091,0.4320090135617395,-0.8804783663202677,0.1910925638925073,-1.8846844921900645,-2.1415289912373443,-1.7223884271578902,-1.6652206374854948,-0.9572176382533673,-0.3921112325809395,-2.216682749864398,1.0270853796179762,0.0657305358694821,-0.1111542029944421,2.3936188833748733,0.6882525448403162,0.1957133943924557,-0.5603729018774123,2.7480810060293264,-0.5744387806781918,-0.8171082941207459,-0.3419825537289005,0.5783486522598286,0.049705993734598,-1.1033818933977009,-0.5176312790156867,6.195853277756676,2.695931008084658,-1.1119410171311612,4.152187509073412,0.5275889754904628,-0.193426016681582,-0.3720107871649217,0.2814896693088247,-0.8867904810105722,-0.4807500586708589,0.4114113146840464,-0.0682858109111338,-0.0320961122627769,6.253683742123328,0.782773750674551,0.2879083565926106,-0.7161971958567747,0.5777122247982108,0.1626351942559023,3.269493429259911,-0.7080638866803974,-1.1593344919320734,-0.2885612514357523,0.2299760197362891,-0.7642047326375684,-0.0761829645032661,./emotion-fmri-neu/cp028_beta_fear_neutral_c0.nii.gz,28,fear,neutral,fear,disgust,1
-1.7782279605208688,-1.260091750776607,0.2115839086594884,-0.2570199747564829,0.0186574591903837,-0.3628756354509354,0.2639165088828312,-1.677547180879478,-0.3342419960066666,-2.1054003210667505,-1.755896715594388,-0.6166883065367446,-0.5040069766191749,-1.578150083661975,0.0043306318412934,-0.0743915318354469,-1.297363225025893,2.3181762295928947,-0.478608204960043,-0.4692629497586135,0.2533143332867431,3.8073894042222105,-0.7615542899450156,-1.4739130336784128,-1.2311864628027671,0.2349026043504939,0.3089255666805107,-2.221571062044062,0.2505376440992984,7.602713895118752,4.685600265694872,0.0520657594494847,6.637920473692268,-0.8204030824889345,-0.5174468030886153,-1.010087576005216,-0.6833974614509555,-0.16704364435918,-0.5279574029058056,-0.6505177319587175,-0.0219320966484193,-0.064072230651148,7.262755353015771,0.53249038118178,1.139822720033651,0.3919269980762996,1.053347670577624,0.558719310827863,6.90750104072292,-1.5315478977757542,-0.0794498885535415,-0.4453447585473868,-0.911016907411718,2.9217785393777973,-0.2189222128582453,./emotion-fmri-neu/cp030_beta_anger_incongruent_c0.nii.gz,30,anger,incongruent,anger,disgust,1
-1.6362050293378687,-1.078996468981973,-0.2206929401298985,-0.0416990381711636,0.2327377636628723,-1.1263976491326175,0.0693904607282065,-1.603590835493609,-0.9004151752556913,0.933636254708413,-0.871501385397877,-0.2400832645594807,1.6751168565178396,-1.1116684483496742,0.9338076162605312,-0.1084197449724076,0.4537616147108564,2.60908275153512,0.2045676227241249,-0.4639140606256164,-0.8898032682424238,3.6243447692654938,0.9128749707761606,-0.7761177963137481,-0.4286810013782876,0.4774732119383618,-0.0608330830626239,-0.0826204892489525,-0.8285955711052717,6.699724091743838,3.607749932324551,-0.2355232862509945,4.740067444425208,1.567267524980814,-0.4677222558025425,-0.8451615988636078,0.2737535693834421,-1.2143413748086362,-0.8987179683661457,-0.3972273159112172,-0.6052681004339688,-0.5042177938296629,6.174209434277147,-0.209181132871879,-0.5045624708246406,-1.9164960679849048,0.1349569855106441,-0.9557587841781654,4.939009248094312,-0.723664551313416,-0.3527624311214333,-0.4373800755962165,-0.997173434158056,-0.5757366228323686,-0.8937534536593268,./emotion-fmri-neu/cp028_beta_anger_neutral_c0.nii.gz,28,anger,neutral,anger,disgust,1
-1.3398409656515542,-2.166568080049531,-0.6521953543608167,1.9809246556594495,-2.9338924742522146,-2.6124600113459504,-1.0515101333442876,-3.238169582731088,-2.5417279007502143,-3.1567822832573262,-3.599594616036915,-1.364126312262556,-4.186428743087344,-3.791831342646271,-1.5800414064122876,-0.1863546759796579,-4.398456426150465,0.9990076636240568,-1.6068103607383273,-0.88091797753577,-0.1937417855251025,1.6480548549441745,-1.906430925494388,-3.07579839163103,-3.508511827411441,0.7829160788696666,0.2390474452756957,-3.851653465240832,0.4367287901260206,2.2190088869314835,3.108719230361729,-1.1065031733806874,1.3760285072202103,-2.528203474857352,-1.329832803059869,-1.568489794813004,-4.425215504746609,2.366518684822545,-0.1092094369203229,-2.110423079422041,-1.2287333452837754,-0.6526053126985957,0.7976702489712028,-1.864509326583656,-1.1169640030282906,-2.8524509071707422,-1.860347805875184,-0.9914839443806346,-0.5640242063365765,-1.5838910351953546,-1.1719481905737814,-1.4096500690294562,-1.4260277920367326,1.057867746472858,-3.327243471000302,./emotion-fmri-neu/cp020_beta_disgust_incongruent_c0.nii.gz,20,disgust,incongruent,disgust,fear,1
-1.2470582068166371,0.0197621597198628,-0.8335538180507694,-0.3761122723372508,-0.2887218991466476,-1.024978839290105,-0.0957557672898545,-1.3582155556603597,-1.4859733927905148,-0.0309795715796054,-0.4798568496722952,-0.6981927683250166,0.7803662280224898,-0.728798007153472,0.5769993479921736,-0.7034193388669029,0.3675367986733954,1.8131680925714515,-0.0637733364085967,-1.0026869443567528,-1.3782363926186068,2.9494122359098998,-0.0133090664143945,-1.7813115365593075,-1.6864841754123214,0.6832133548171664,0.0091201970905082,-1.6774563973445125,-1.7642093165735346,7.915517409870718,3.120739908368364,-2.344453356510193,4.93594958131378,1.0212412597942817,-0.823760345490554,-1.9256177326909365,0.9334621384024624,-2.402435089973625,-0.5049414214191736,-0.613937466537366,0.0978398458163754,0.1338481693455963,6.99203375592398,0.1176297420686507,-0.5223867915175513,-0.8142945025253506,-0.3187351602170284,-0.2104004131442497,5.28687457759979,-0.5317984567360247,-0.0700989861172015,-0.2319791760441769,-0.5887651941603592,-0.2920704410236605,-0.895265069386038,./emotion-fmri-neu/cp028_beta_fear_incongruent_c0.nii.gz,28,fear,incongruent,fear,disgust,1
-1.0640516069033017,0.9523307267724866,0.7739177362471358,1.0060312587338636,1.4105232951128648,0.2258831940590853,-0.0431593893998032,-0.235328647843495,1.450200087184342,4.196215939346339,0.1906487074781913,-0.7896198548169997,4.0489857782344645,3.0195288261685045,3.0846635594195195,-0.7953132699848883,3.812424451020353,4.7178389644300935,1.7434781181645216,-0.8990263066396402,-0.4124567543020479,6.34580128549592,3.049690422157058,1.171725199883213,-2.1894785669112955,1.5902661361910857,0.2603552378667267,-0.8147770057797427,0.2703235265325041,8.7964330566032,7.248503141333153,-1.203143870644312,7.502078206541252,0.4027780177535985,-0.970699795955532,0.1247136217626436,0.9609493879062426,-0.4873827087467088,1.0544919131057875,-0.2026700157479583,1.2603980853777577,0.9634659194191432,8.528802096625709,1.3539155269783842,1.1800705415391024,0.1940190788882214,1.5722846813058868,0.9558678091654796,8.76250910517998,-2.9226877075630218,-1.38424589560107,-0.6698844114963222,-1.2706513467161835,0.9607791673187136,-0.5556897095725644,./emotion-fmri-neu/cp018_beta_fear_incongruent_c0.nii.gz,18,fear,incongruent,fear,disgust,1
