Feat 1,Feat 2,Feat 3,Feat 4,Feat 5,filename,subject,emotion,priming,true_label,predicted_label,error_count
-506.01360870799897,-177.7488831464148,-306.77165584786576,54.150384739114,-83.0242796859397,./emotion-fmri-neu/cp025_beta_anger_neutral_c0.nii.gz,25,anger,neutral,neutral,incongruent,1
-374.6876203629085,-196.40904040398868,-98.4443271942617,-126.072884943633,74.04952645766858,./emotion-fmri-neu/cp005_beta_anger_neutral_c0.nii.gz,5,anger,neutral,neutral,incongruent,1
-349.7732404169452,-294.3586741876486,474.88723585268855,101.90528812039663,86.61703817600021,./emotion-fmri-neu/cp013_beta_anger_neutral_c0.nii.gz,13,anger,neutral,neutral,congruent,1
-337.8555472252643,-46.11302845622163,17.503521810975993,222.8566465760665,215.3725804316826,./emotion-fmri-neu/cp023_beta_fear_neutral_c0.nii.gz,23,fear,neutral,neutral,congruent,1
-331.72958450212207,273.40643135648804,18.557813269983065,7.207302541551568,-37.49691336751199,./emotion-fmri-neu/cp026_beta_anger_neutral_c0.nii.gz,26,anger,neutral,neutral,congruent,1
-304.5706130515983,-217.5320927241753,-34.692447242122846,65.16553910509218,-78.52544832650678,./emotion-fmri-neu/cp025_beta_anger_incongruent_c0.nii.gz,25,anger,incongruent,incongruent,congruent,1
-303.2344979372684,164.41947338316288,-164.1982282621578,174.78626314235154,42.90672285973977,./emotion-fmri-neu/cp011_beta_fear_neutral_c0.nii.gz,11,fear,neutral,neutral,congruent,1
-302.03656253976925,-212.73563409023453,127.84228523966026,-122.13213086821187,-202.35902718456148,./emotion-fmri-neu/cp024_beta_anger_neutral_c0.nii.gz,24,anger,neutral,neutral,incongruent,1
-295.9414168297752,85.14605435467072,79.09304393425926,11.006095490182156,-80.18310039397548,./emotion-fmri-neu/cp026_beta_fear_incongruent_c0.nii.gz,26,fear,incongruent,incongruent,congruent,1
-286.44517289068534,-137.18364659775483,35.409072026633766,-87.34468444569015,416.3834714417034,./emotion-fmri-neu/cp022_beta_fear_neutral_c0.nii.gz,22,fear,neutral,neutral,congruent,1
-278.62792861256787,-312.5758193869024,-62.76084267922313,130.27292456827027,-51.55024392193708,./emotion-fmri-neu/cp025_beta_fear_incongruent_c0.nii.gz,25,fear,incongruent,incongruent,congruent,1
-264.1010223360447,23.74726452117197,-110.62635675409987,-171.7499021702531,-37.89696140555823,./emotion-fmri-neu/cp005_beta_anger_congruent_c0.nii.gz,5,anger,congruent,congruent,incongruent,1
-259.39802948291174,55.910909785439,254.02642724060811,-180.5609764621236,97.00998436500667,./emotion-fmri-neu/cp009_beta_disgust_congruent_c0.nii.gz,9,disgust,congruent,congruent,incongruent,1
-255.53130368009585,48.42646986845748,-94.51107400187882,173.5332842696033,-178.31484080039928,./emotion-fmri-neu/cp007_beta_fear_congruent_c0.nii.gz,7,fear,congruent,congruent,incongruent,1
-251.20021366189303,-253.22540126919705,-57.412615329114864,136.31345895008772,584.037247521539,./emotion-fmri-neu/cp022_beta_anger_congruent_c0.nii.gz,22,anger,congruent,congruent,neutral,1
-247.1076124421862,319.222835586269,67.4499853808833,-24.47981671022833,-61.66232584390498,./emotion-fmri-neu/cp026_beta_disgust_neutral_c0.nii.gz,26,disgust,neutral,neutral,congruent,1
-240.80664873526192,156.05701862297994,78.84611188788811,22.795802204662326,-162.5389407570384,./emotion-fmri-neu/cp026_beta_anger_incongruent_c0.nii.gz,26,anger,incongruent,incongruent,congruent,1
-234.80973540497524,106.09401312927776,280.9131586118528,-199.86552305037165,78.99103609411014,./emotion-fmri-neu/cp009_beta_anger_congruent_c0.nii.gz,9,anger,congruent,congruent,incongruent,1
-232.91787935037604,102.33887483376178,55.56831766510919,-40.467831801478425,-217.96147575644025,./emotion-fmri-neu/cp026_beta_disgust_incongruent_c0.nii.gz,26,disgust,incongruent,incongruent,congruent,1
-231.05153391422897,52.3180508825737,-369.2055557617251,-140.070971487356,-19.15455366206126,./emotion-fmri-neu/cp030_beta_anger_incongruent_c0.nii.gz,30,anger,incongruent,incongruent,congruent,1
