feature,corrcoef
Feat 1,-0.035051063124164845
Feat 2,0.16070903557395733
Feat 3,-0.12900815885175965
Feat 4,-0.24352938572644836
Feat 5,-0.25748627232408056
Feat 6,-0.07578001964862856
Feat 7,0.022927737157036884
Feat 8,-0.03635065507267599
Feat 9,0.0544451941282678
Feat 10,-0.11616385361693386
Feat 11,0.04359009506420698
Feat 12,0.0015886875730624279
Feat 13,0.21968810291061341
Feat 14,0.2979949464116105
Feat 15,0.2653428810601499
Feat 16,0.1407188938113112
Feat 17,0.011199079271034293
Feat 18,-0.1436788578627924
Feat 19,0.08765462305286625
Feat 20,0.0875249551867867
Feat 21,0.03613345036470811
Feat 22,-0.05919610439588007
Feat 23,-0.23853556177235524
Feat 24,0.03815206585168051
Feat 25,-0.04087674886650236
Feat 26,-0.04119709235691214
Feat 27,-0.06618266652811339
Feat 28,0.024374454279319682
Feat 29,-0.023542460842169332
Feat 30,-0.04839808075576208
Feat 31,-0.0416027542338462
Feat 32,0.013896273084529225
Feat 33,-0.0037534367062131853
Feat 34,-0.08049001926881823
Feat 35,0.04490388607636759
Feat 36,0.005710255726038362
Feat 37,0.11430861953593091
Feat 38,-0.004866633120943613
Feat 39,-0.06447898932555435
Feat 40,0.05823042510721273
Feat 41,0.0830602373799917
Feat 42,-0.04575013019971679
Feat 43,0.05965560116092296
Feat 44,-0.03396940237216876
Feat 45,0.029975893686036134
Feat 46,-0.007295745629128609
Feat 47,0.003403765793098033
Feat 48,-0.01093900118151237
Feat 49,-0.07045628786695138
Feat 50,0.08272104083357953
Feat 51,-0.06258217326116908
