feature,corrcoef
Feat 1,0.018948961179403437
Feat 2,0.17786092750785262
Feat 3,-0.13990076353478373
Feat 4,0.068417815148056
Feat 5,-0.16704675119957715
Feat 6,-0.17905675594420406
Feat 7,-0.06830678464226535
Feat 8,0.2346554187286578
Feat 9,-0.01893793185166843
Feat 10,-0.1642615867048282
Feat 11,0.05566818149341676
Feat 12,0.2969942571578376
Feat 13,0.08446497556566117
Feat 14,-0.020092434604609202
Feat 15,-0.3517123104449329
Feat 16,0.3135972814475093
Feat 17,0.021308513892802857
Feat 18,0.017983421214749135
Feat 19,0.24956750568933325
Feat 20,-0.05760560312271199
Feat 21,0.1549700718449542
