feature,corrcoef,category
Feat 1,-0.01048260660469148,No Correlation
Feat 2,0.15274028795293448,No Correlation
Feat 3,-0.09152906240201548,No Correlation
Feat 4,0.14516872429910346,No Correlation
Feat 5,-0.1317983077726595,No Correlation
Feat 6,0.19560956175639815,No Correlation
Feat 7,-0.03652682051463348,No Correlation
Feat 8,0.15111232924623463,No Correlation
Feat 9,0.24525784645330032,No Correlation
Feat 10,-0.24732132906047796,No Correlation
Feat 11,0.14362272703100268,No Correlation
Feat 12,0.07075553842011585,No Correlation
Feat 13,0.12185086855099178,No Correlation
Feat 14,-0.08202688035043249,No Correlation
Feat 15,-0.3206627754462905,Weak Negative
Feat 16,-0.3309645573799324,Weak Negative
Feat 17,-0.13526928969389548,No Correlation
Feat 18,-0.03636295060413475,No Correlation
Feat 19,-0.23624311969388997,No Correlation
Feat 20,0.06788508542029822,No Correlation
Feat 21,0.14628586647890818,No Correlation
Feat 22,0.24012075856757276,No Correlation
Feat 23,-0.048344808631451214,No Correlation
Feat 24,-0.060465515685751044,No Correlation
Feat 25,-0.04535791070978385,No Correlation
Feat 26,0.12505113899209097,No Correlation
Feat 27,0.05470634820365001,No Correlation
Feat 28,0.16900675270755322,No Correlation
Feat 29,-0.12648720952807258,No Correlation
Feat 30,-0.1256081010625971,No Correlation
Feat 31,0.0667683254999649,No Correlation
Feat 32,0.12714525465788665,No Correlation
Feat 33,-0.08434643799054681,No Correlation
Feat 34,0.1234963318150158,No Correlation
Feat 35,0.12673989294963128,No Correlation
Feat 36,-0.049889423342331304,No Correlation
Feat 37,-0.09457688861339081,No Correlation
Feat 38,0.22483668779313276,No Correlation
Feat 39,-0.0034621313770141836,No Correlation
Feat 40,-0.05607522647505032,No Correlation
Feat 41,0.052753761219705604,No Correlation
Feat 42,-0.17749160330516855,No Correlation
Feat 43,-0.05555866487922227,No Correlation
Feat 44,0.02457885454129108,No Correlation
Feat 45,0.017341528095851533,No Correlation
Feat 46,0.03101945277646302,No Correlation
Feat 47,0.04107273701617267,No Correlation
Feat 48,-0.06529635655093981,No Correlation
Feat 49,-0.005527405746163644,No Correlation
Feat 50,-0.10176968894055002,No Correlation
Feat 51,0.06468188760664405,No Correlation
Feat 52,0.013407316730729663,No Correlation
Feat 53,0.021199012943223457,No Correlation
Feat 54,0.05461074291768286,No Correlation
Feat 55,-0.07858912711101707,No Correlation
Feat 56,-0.020502925348867856,No Correlation
Feat 57,-0.013782304477943215,No Correlation
Feat 58,0.006201744625164224,No Correlation
Feat 59,0.03430274499099342,No Correlation
Feat 60,0.05659410193394134,No Correlation
Feat 61,0.012779368505963937,No Correlation
Feat 62,0.08608390215812571,No Correlation
Feat 63,0.012911645405718687,No Correlation
Feat 64,-0.02071763156715287,No Correlation
Feat 65,-0.029610468173205323,No Correlation
Feat 66,-0.0027060990297983582,No Correlation
Feat 67,-0.03481054916753643,No Correlation
Feat 68,-0.0279004604005917,No Correlation
Feat 69,-0.0011333332044773804,No Correlation
Feat 70,-0.007092039086319862,No Correlation
Feat 71,0.012787597479264468,No Correlation
Feat 72,0.012873496874460698,No Correlation
Feat 73,0.0031218952111623345,No Correlation
Feat 74,0.002314342716532653,No Correlation
Feat 75,0.04035996414388538,No Correlation
Feat 76,0.012120218381157137,No Correlation
Feat 77,-0.010322801819878439,No Correlation
Feat 78,-0.018785271958485533,No Correlation
Feat 79,-0.0077729644395384155,No Correlation
Feat 80,-0.013606558083110785,No Correlation
Feat 81,0.024839526810314892,No Correlation
Feat 82,-0.03317367395639287,No Correlation
Feat 83,0.013868799906561775,No Correlation
Feat 84,-0.047725150350290395,No Correlation
Feat 85,-0.0019409442681235763,No Correlation
Feat 86,-0.02781094202221651,No Correlation
Feat 87,0.008567651811951273,No Correlation
Feat 88,-0.005154276284702839,No Correlation
Feat 89,0.022060196038326197,No Correlation
Feat 90,-0.013738860136646972,No Correlation
Feat 91,0.02185834961256122,No Correlation
Feat 92,0.003939401477902149,No Correlation
Feat 93,-0.0045670397474918325,No Correlation
Feat 94,-0.00886027771478455,No Correlation
Feat 95,0.028491643875975265,No Correlation
Feat 96,-0.003979547089455393,No Correlation
Feat 97,-0.006285974115147037,No Correlation
Feat 98,-0.016961795569941686,No Correlation
Feat 99,0.00028443262407827933,No Correlation
Feat 100,-0.012425173493379744,No Correlation
Feat 101,0.0030071864628290336,No Correlation
Feat 102,-0.001654859519667383,No Correlation
Feat 103,0.013155038885297203,No Correlation
Feat 104,-0.00987317873351707,No Correlation
Feat 105,-0.0028344149992271645,No Correlation
Feat 106,0.0005329644866173458,No Correlation
Feat 107,-0.017123089498339485,No Correlation
Feat 108,-0.01872281750970485,No Correlation
Feat 109,-0.01917684607760683,No Correlation
Feat 110,0.017910347333786616,No Correlation
Feat 111,0.02531108356743285,No Correlation
Feat 112,-0.0220909246351295,No Correlation
Feat 113,0.009952802591635416,No Correlation
Feat 114,-0.005724409254215454,No Correlation
Feat 115,0.001616520058383287,No Correlation
Feat 116,-0.009121670248385928,No Correlation
Feat 117,0.012860501529964713,No Correlation
Feat 118,-0.011065933390979641,No Correlation
Feat 119,-0.006186824124972278,No Correlation
Feat 120,-0.0016883263487519806,No Correlation
Feat 121,-0.006298347431321482,No Correlation
Feat 122,-0.003166164198074862,No Correlation
Feat 123,0.007421114651865474,No Correlation
Feat 124,0.006233887187216125,No Correlation
Feat 125,0.00440781738772742,No Correlation
Feat 126,0.03278851256496929,No Correlation
Feat 127,-0.011793511211377863,No Correlation
Feat 128,-0.01405192857276962,No Correlation
