feature,corrcoef,category
Feat 1,-0.2085158938612118,No Correlation
Feat 2,-0.12057284766390716,No Correlation
Feat 3,-0.07988929805278512,No Correlation
Feat 4,-0.14513663585825226,No Correlation
Feat 5,-0.02813464864510989,No Correlation
