,precision,recall,f1-score,support
anger,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
disgust,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
fear,0.9772727272727273,0.9555555555555556,0.9662921348314608,45.0
accuracy,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9703703703703703
macro avg,0.9705240813936467,0.9703703703703703,0.9703676265474019,135.0
weighted avg,0.9705240813936465,0.9703703703703703,0.9703676265474019,135.0
