,precision,recall,f1-score,support
anger,0.75,0.7333333333333333,0.7415730337078651,45.0
disgust,0.6875,0.7333333333333333,0.7096774193548386,45.0
fear,0.7906976744186046,0.7555555555555555,0.7727272727272727,45.0
accuracy,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
macro avg,0.7427325581395349,0.7407407407407408,0.7413259085966587,135.0
weighted avg,0.7427325581395349,0.7407407407407407,0.7413259085966588,135.0
