,precision,recall,f1-score,support
anger,0.4666666666666667,0.4666666666666667,0.4666666666666667,45.0
disgust,0.5,0.4888888888888889,0.4943820224719101,45.0
fear,0.5,0.5111111111111111,0.5054945054945055,45.0
accuracy,0.4888888888888889,0.4888888888888889,0.4888888888888889,0.4888888888888889
macro avg,0.48888888888888893,0.4888888888888889,0.48884773154436073,135.0
weighted avg,0.4888888888888889,0.4888888888888889,0.48884773154436073,135.0
