,precision,recall,f1-score,support
anger,0.9782608695652174,1.0,0.989010989010989,45.0
disgust,1.0,0.9555555555555556,0.9772727272727273,45.0
fear,0.9782608695652174,1.0,0.989010989010989,45.0
accuracy,0.9851851851851852,0.9851851851851852,0.9851851851851852,0.9851851851851852
macro avg,0.9855072463768115,0.9851851851851853,0.9850982350982352,135.0
weighted avg,0.9855072463768115,0.9851851851851852,0.9850982350982351,135.0
