,precision,recall,f1-score,support
anger,0.7878787878787878,0.5777777777777777,0.6666666666666666,45.0
disgust,0.6470588235294118,0.7333333333333333,0.6875,45.0
fear,0.6862745098039216,0.7777777777777778,0.7291666666666667,45.0
accuracy,0.6962962962962963,0.6962962962962963,0.6962962962962963,0.6962962962962963
macro avg,0.7070707070707071,0.6962962962962962,0.6944444444444443,135.0
weighted avg,0.7070707070707072,0.6962962962962963,0.6944444444444444,135.0
