method,target,feat_1,feat_2,p_value
Harvard_Oxford sub 0 x 1,priming,predicted_label,emotion,0.5926116986239505
Harvard_Oxford sub 0 x 1,priming,predicted_label,priming,4.619492738864165e-15
Juelich 0 x 1,emotion,subject,emotion,0.6740198366669236
Juelich 0 x 1,emotion,subject,priming,0.9999999992858235
Juelich 0 x 1,emotion,subject,predicted_label,2.3582399274340566e-11
Juelich 0 x 1,emotion,emotion,subject,0.674019836666924
Juelich 0 x 1,emotion,emotion,priming,0.9319874943102506
Juelich 0 x 1,emotion,emotion,predicted_label,7.829541149185076e-17
Juelich 0 x 1,emotion,priming,subject,0.9999999992858235
Juelich 0 x 1,emotion,priming,emotion,0.9319874943102506
Juelich 0 x 1,emotion,priming,predicted_label,0.23974045636774263
Juelich 0 x 1,emotion,predicted_label,subject,2.3582399274340566e-11
Juelich 0 x 1,emotion,predicted_label,emotion,7.829541149185076e-17
Juelich 0 x 1,emotion,predicted_label,priming,0.23974045636774274
Juelich 0 x 1,priming,subject,emotion,0.99894419098893
Juelich 0 x 1,priming,subject,priming,0.050579064189651246
Juelich 0 x 1,priming,subject,predicted_label,4.959354835313476e-06
Juelich 0 x 1,priming,emotion,subject,0.99894419098893
Juelich 0 x 1,priming,emotion,priming,0.8315127822549089
Juelich 0 x 1,priming,emotion,predicted_label,0.6083693514456152
Juelich 0 x 1,priming,priming,subject,0.050579064189651246
Juelich 0 x 1,priming,priming,emotion,0.8315127822549089
Juelich 0 x 1,priming,priming,predicted_label,7.457829641124746e-12
Juelich 0 x 1,priming,predicted_label,subject,4.959354835313476e-06
Juelich 0 x 1,priming,predicted_label,emotion,0.6083693514456152
Juelich 0 x 1,priming,predicted_label,priming,7.457829641124717e-12
AAL SPM12,emotion,subject,emotion,0.6630321073443655
AAL SPM12,emotion,subject,priming,0.9999999999999206
AAL SPM12,emotion,subject,predicted_label,6.649313365780118e-16
AAL SPM12,emotion,emotion,subject,0.6630321073443652
AAL SPM12,emotion,emotion,priming,0.8371060910511081
AAL SPM12,emotion,emotion,predicted_label,1.0211849594288399e-17
AAL SPM12,emotion,priming,subject,0.9999999999999206
AAL SPM12,emotion,priming,emotion,0.8371060910511081
AAL SPM12,emotion,priming,predicted_label,0.36013094831061127
AAL SPM12,emotion,predicted_label,subject,6.649313365780118e-16
AAL SPM12,emotion,predicted_label,emotion,1.0211849594288325e-17
AAL SPM12,emotion,predicted_label,priming,0.36013094831061115
AAL SPM12,priming,subject,emotion,0.999979529584785
AAL SPM12,priming,subject,priming,0.012331960125484815
AAL SPM12,priming,subject,predicted_label,1.0943889232180011e-10
AAL SPM12,priming,emotion,subject,0.999979529584785
AAL SPM12,priming,emotion,priming,0.9028632223337195
AAL SPM12,priming,emotion,predicted_label,0.7559578075141764
AAL SPM12,priming,priming,subject,0.012331960125484815
AAL SPM12,priming,priming,emotion,0.9028632223337195
AAL SPM12,priming,priming,predicted_label,9.392005172261144e-13
AAL SPM12,priming,predicted_label,subject,1.0943889232180179e-10
AAL SPM12,priming,predicted_label,emotion,0.7559578075141764
AAL SPM12,priming,predicted_label,priming,9.392005172261144e-13
Talairach Gyrus,emotion,subject,emotion,0.9711492815287702
Talairach Gyrus,emotion,subject,priming,0.9999999999996345
Talairach Gyrus,emotion,subject,predicted_label,5.824228028643417e-08
Talairach Gyrus,emotion,emotion,subject,0.9711492815287703
Talairach Gyrus,emotion,emotion,priming,0.8907704210745271
Talairach Gyrus,emotion,emotion,predicted_label,5.135392346682352e-19
Talairach Gyrus,emotion,priming,subject,0.9999999999996345
Talairach Gyrus,emotion,priming,emotion,0.8907704210745271
Talairach Gyrus,emotion,priming,predicted_label,0.3845240045937456
Talairach Gyrus,emotion,predicted_label,subject,5.824228028643331e-08
Talairach Gyrus,emotion,predicted_label,emotion,5.135392346682352e-19
Talairach Gyrus,emotion,predicted_label,priming,0.3845240045937456
Talairach Gyrus,priming,subject,emotion,0.999990336436811
Talairach Gyrus,priming,subject,priming,0.0020198365312537074
Talairach Gyrus,priming,subject,predicted_label,2.1687979911764286e-08
Talairach Gyrus,priming,emotion,subject,0.999990336436811
Talairach Gyrus,priming,emotion,priming,0.9874834416888931
Talairach Gyrus,priming,emotion,predicted_label,0.7430159828089684
Talairach Gyrus,priming,priming,subject,0.002019836531253724
Talairach Gyrus,priming,priming,emotion,0.9874834416888931
