Feat 1,Feat 2,filename,subject,emotion,priming
-87.1074002946022,-119.03862822781865,./emotion-fmri-neu/cp001_beta_anger_congruent_c0.nii.gz,1,anger,congruent
-253.2679711812857,-60.234415423886894,./emotion-fmri-neu/cp001_beta_anger_incongruent_c0.nii.gz,1,anger,incongruent
-249.30426929726283,-93.62647077427582,./emotion-fmri-neu/cp001_beta_anger_neutral_c0.nii.gz,1,anger,neutral
134.815734996582,-99.37668169912327,./emotion-fmri-neu/cp001_beta_fear_congruent_c0.nii.gz,1,fear,congruent
155.14953418595465,-43.81494991803812,./emotion-fmri-neu/cp001_beta_fear_incongruent_c0.nii.gz,1,fear,incongruent
-299.5683917860606,-31.37592912063857,./emotion-fmri-neu/cp001_beta_fear_neutral_c0.nii.gz,1,fear,neutral
148.25093805396142,-24.941052817303763,./emotion-fmri-neu/cp001_beta_disgust_congruent_c0.nii.gz,1,disgust,congruent
197.89014905060677,-54.388828122993935,./emotion-fmri-neu/cp001_beta_disgust_incongruent_c0.nii.gz,1,disgust,incongruent
10.480009346344488,18.512468176207086,./emotion-fmri-neu/cp001_beta_disgust_neutral_c0.nii.gz,1,disgust,neutral
-162.57765277952862,563.558080670475,./emotion-fmri-neu/cp002_beta_anger_congruent_c0.nii.gz,2,anger,congruent
72.14163312556795,433.75768983383404,./emotion-fmri-neu/cp002_beta_anger_incongruent_c0.nii.gz,2,anger,incongruent
-417.84129732128065,499.4834174650086,./emotion-fmri-neu/cp002_beta_anger_neutral_c0.nii.gz,2,anger,neutral
-353.8021821735116,259.33938314623066,./emotion-fmri-neu/cp002_beta_fear_congruent_c0.nii.gz,2,fear,congruent
-234.10133371165347,592.6694077800865,./emotion-fmri-neu/cp002_beta_fear_incongruent_c0.nii.gz,2,fear,incongruent
-294.9298039846516,616.1255790261964,./emotion-fmri-neu/cp002_beta_fear_neutral_c0.nii.gz,2,fear,neutral
50.37948642892598,260.59193584719605,./emotion-fmri-neu/cp002_beta_disgust_congruent_c0.nii.gz,2,disgust,congruent
-315.3257612671086,581.9598081813554,./emotion-fmri-neu/cp002_beta_disgust_incongruent_c0.nii.gz,2,disgust,incongruent
