,train,test
accuracy,0.34259259259259256,0.3333333333333333
recall,0.34259259259259256,0.3333333333333333
precision,0.34259259259259256,0.3333333333333333
f1,0.34259259259259256,0.3333333333333333
roc_auc,0.512247085048011,0.49087791495198907
