,train,test
accuracy,0.6712962962962964,0.3518518518518518
recall,0.6712962962962964,0.3518518518518518
precision,0.6712962962962964,0.3518518518518518
f1,0.6712962962962964,0.3518518518518518
roc_auc,0.8470786179698215,0.5383058984910837
