,train,test
accuracy,0.9712962962962963,0.5962962962962963
recall,0.9712962962962963,0.5962962962962963
precision,0.9712962962962963,0.5962962962962963
f1,0.9712962962962963,0.5962962962962963
roc_auc,0.9977366255144033,0.7896776406035666
