,train,test
accuracy,0.874074074074074,0.3888888888888889
recall,0.874074074074074,0.3888888888888889
precision,0.874074074074074,0.3888888888888889
f1,0.874074074074074,0.3888888888888889
roc_auc,0.9644440157750342,0.5714677640603567
