,train,test
accuracy,0.43055555555555564,0.37037037037037035
recall,0.43055555555555564,0.37037037037037035
precision,0.43055555555555564,0.37037037037037035
f1,0.43055555555555564,0.37037037037037035
roc_auc,0.6353737997256517,0.5245541838134431
