,train,test
accuracy,0.6537037037037037,0.5333333333333334
recall,0.6537037037037037,0.5333333333333334
precision,0.6537037037037037,0.5333333333333334
f1,0.6537037037037037,0.5333333333333334
roc_auc,0.8210733882030178,0.7046639231824418
