,train,test
accuracy,0.7027777777777777,0.6370370370370371
recall,0.7027777777777777,0.6370370370370371
precision,0.7027777777777777,0.6370370370370371
f1,0.7027777777777777,0.6370370370370371
roc_auc,0.8594521604938272,0.8070644718792866
