,train,test
accuracy,0.4101851851851852,0.34074074074074073
recall,0.4101851851851852,0.34074074074074073
precision,0.4101851851851852,0.34074074074074073
f1,0.4101851851851852,0.34074074074074073
roc_auc,0.5977494855967078,0.5228052126200275
