,train,test
accuracy,0.8546296296296297,0.4814814814814815
recall,0.8546296296296297,0.4814814814814815
precision,0.8546296296296297,0.4814814814814815
f1,0.8546296296296297,0.4814814814814815
roc_auc,0.9623735425240056,0.6998628257887517
