,train,test
accuracy,0.8296296296296296,0.39629629629629626
recall,0.8296296296296296,0.39629629629629626
precision,0.8296296296296296,0.39629629629629626
f1,0.8296296296296296,0.39629629629629626
roc_auc,0.9502143347050754,0.5648148148148148
