,train,test
accuracy,0.9407407407407409,0.6037037037037037
recall,0.9407407407407409,0.6037037037037037
precision,0.9407407407407409,0.6037037037037037
f1,0.9407407407407409,0.6037037037037037
roc_auc,0.9913022976680382,0.7741426611796982
