,train,test
accuracy,0.33425925925925926,0.337037037037037
recall,0.33425925925925926,0.337037037037037
precision,0.33425925925925926,0.337037037037037
f1,0.33425925925925926,0.337037037037037
roc_auc,0.5143840020576131,0.4981481481481483
