,train,test
accuracy,0.5981481481481482,0.3851851851851852
recall,0.5981481481481482,0.3851851851851852
precision,0.5981481481481482,0.3851851851851852
f1,0.5981481481481482,0.3851851851851852
roc_auc,0.7787058470507544,0.5433813443072703
